phoneType,iosVersion,embedMod,Mem,Duration,networkType,methodName,Cpu
"iPhone4,1",7.0.2,0,19,103,1,startSyncRequest,19
"iPhone4,1",7.0.2,0,20,58,1,startSyncRequest,33
"iPhone4,1",7.0.2,0,20,30,1,startSyncRequest,33
"iPhone4,1",7.0.2,0,20,50,1,startSyncRequest,16
"iPhone4,1",7.0.2,0,20,31,1,startSyncRequest,33
"iPhone4,1",7.0.2,0,20,59,1,startSyncRequest,16
"iPhone4,1",7.0.2,0,20,30,1,startSyncRequest,33
"iPhone4,1",7.0.2,0,20,30,1,startSyncRequest,25
"iPhone4,1",7.0.2,0,20,46,1,startSyncRequest,0
"iPhone4,1",7.0.2,0,20,47,1,startSyncRequest,16
"iPhone4,1",7.0.2,0,20,28,1,startSyncRequest,0
"iPhone4,1",7.0.2,0,20,41,1,startSyncRequest,20
"iPhone4,1",7.0.2,0,20,47,1,startSyncRequest,20
"iPhone4,1",7.0.2,0,20,35,1,startSyncRequest,25
"iPhone4,1",7.0.2,0,20,57,1,startSyncRequest,33
"iPhone4,1",7.0.2,0,20,36,1,startSyncRequest,25
"iPhone4,1",7.0.2,0,20,157,1,startSyncRequest,31
"iPhone4,1",7.0.2,0,20,89,1,startSyncRequest,18
"iPhone4,1",7.0.2,0,20,33,1,startSyncRequest,50
"iPhone4,1",7.0.2,0,20,79,1,startSyncRequest,12
"iPhone4,1",7.0.2,0,20,50,1,startSyncRequest,33
"iPhone4,1",7.0.2,0,20,270,1,startSyncRequest,11
"iPhone4,1",7.0.2,0,20,66,1,startSyncRequest,25
"iPhone4,1",7.0.2,0,20,45,1,startSyncRequest,40
"iPhone4,1",7.0.2,0,20,46,1,startSyncRequest,33
"iPhone4,1",7.0.2,0,20,49,1,startSyncRequest,20
"iPhone4,1",7.0.2,0,20,44,1,startSyncRequest,20
"iPhone4,1",7.0.2,0,20,29,1,startSyncRequest,66
"iPhone4,1",7.0.2,0,20,50,1,startSyncRequest,40
"iPhone4,1",7.0.2,0,20,33,1,startSyncRequest,25
"iPhone4,1",7.0.2,0,20,33,1,startSyncRequest,33
"iPhone4,1",7.0.2,0,20,44,1,startSyncRequest,20
"iPhone4,1",7.0.2,0,20,30,1,startSyncRequest,0
"iPhone4,1",7.0.2,0,20,50,1,startSyncRequest,20
"iPhone4,1",7.0.2,0,20,41,1,startSyncRequest,40
"iPhone4,1",7.0.2,0,20,29,1,startSyncRequest,33
"iPhone4,1",7.0.2,0,20,28,1,startSyncRequest,33
"iPhone4,1",7.0.2,0,20,34,1,startSyncRequest,25
"iPhone4,1",7.0.2,0,20,50,1,startSyncRequest,20
"iPhone4,1",7.0.2,0,20,37,1,startSyncRequest,40
"iPhone4,1",7.0.2,0,20,32,1,startSyncRequest,33
"iPhone4,1",7.0.2,0,20,35,1,startSyncRequest,25
"iPhone4,1",7.0.2,0,20,57,1,startSyncRequest,33
"iPhone4,1",7.0.2,0,20,66,1,startSyncRequest,14
"iPhone4,1",7.0.2,0,20,125,1,startSyncRequest,15
"iPhone4,1",7.0.2,0,20,31,1,startSyncRequest,25
"iPhone4,1",7.0.2,0,20,43,1,startSyncRequest,40
"iPhone4,1",7.0.2,0,20,44,1,startSyncRequest,0
"iPhone4,1",7.0.2,0,20,43,1,startSyncRequest,50
"iPhone4,1",7.0.2,0,20,45,1,startSyncRequest,60
"iPhone4,1",7.0.2,0,20,72,1,startSyncRequest,25
"iPhone4,1",7.0.2,0,20,48,1,startSyncRequest,20
"iPhone4,1",7.0.2,0,20,81,1,startSyncRequest,22
"iPhone4,1",7.0.2,0,20,68,1,startSyncRequest,14
"iPhone4,1",7.0.2,0,20,79,1,startSyncRequest,25
"iPhone4,1",7.0.2,0,20,29,1,startSyncRequest,50
"iPhone4,1",7.0.2,0,20,65,1,startSyncRequest,25
"iPhone4,1",7.0.2,0,20,38,1,startSyncRequest,50
"iPhone4,1",7.0.2,0,20,53,1,startSyncRequest,16
"iPhone4,1",7.0.2,0,20,36,1,startSyncRequest,50
"iPhone4,1",7.0.2,0,20,37,1,startSyncRequest,25
"iPhone4,1",7.0.2,0,20,49,1,startSyncRequest,33
"iPhone4,1",7.0.2,0,20,85,1,startSyncRequest,22
"iPhone4,1",7.0.2,0,20,292,1,startSyncRequest,13
"iPhone4,1",7.0.2,0,20,205,1,startSyncRequest,22
"iPhone4,1",7.0.2,0,20,281,1,startSyncRequest,13
"iPhone4,1",7.0.2,0,20,49,1,startSyncRequest,20
"iPhone4,1",7.0.2,0,20,34,1,startSyncRequest,33
"iPhone4,1",7.0.2,0,20,145,1,startSyncRequest,13
"iPhone4,1",7.0.2,0,20,50,1,startSyncRequest,16
"iPhone4,1",7.0.2,0,20,37,1,startSyncRequest,50
"iPhone4,1",7.0.2,0,20,34,1,startSyncRequest,50
"iPhone4,1",7.0.2,0,20,49,1,startSyncRequest,40
"iPhone4,1",7.0.2,0,20,35,1,startSyncRequest,25
"iPhone4,1",7.0.2,0,20,38,1,startSyncRequest,25
"iPhone4,1",7.0.2,0,20,90,1,startSyncRequest,11
"iPhone4,1",7.0.2,0,20,56,1,startSyncRequest,28
"iPhone4,1",7.0.2,0,20,43,1,startSyncRequest,20
"iPhone4,1",7.0.2,0,20,59,1,startSyncRequest,16
"iPhone4,1",7.0.2,0,20,62,1,startSyncRequest,28
"iPhone4,1",7.0.2,0,20,43,1,startSyncRequest,40
"iPhone4,1",7.0.2,0,20,102,1,startSyncRequest,18
"iPhone4,1",7.0.2,0,20,35,1,startSyncRequest,33
"iPhone4,1",7.0.2,0,20,37,1,startSyncRequest,40
"iPhone4,1",7.0.2,0,20,189,1,startSyncRequest,10
"iPhone4,1",7.0.2,0,20,189,1,startSyncRequest,26
"iPhone4,1",7.0.2,0,20,43,1,startSyncRequest,20
"iPhone4,1",7.0.2,0,20,39,1,startSyncRequest,50
