phoneType,iosVersion,embedMod,Mem,Duration,networkType,methodName,Cpu
"iPhone4,1",7.0.2,1,20,78,1,startSyncRequest,21
"iPhone4,1",7.0.2,1,20,42,1,startSyncRequest,50
"iPhone4,1",7.0.2,1,21,49,1,startSyncRequest,60
"iPhone4,1",7.0.2,1,21,36,1,startSyncRequest,75
"iPhone4,1",7.0.2,1,21,123,1,startSyncRequest,92
"iPhone4,1",7.0.2,1,21,31,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,43,1,startSyncRequest,40
"iPhone4,1",7.0.2,1,21,30,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,30,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,37,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,33,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,47,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,63,1,startSyncRequest,42
"iPhone4,1",7.0.2,1,21,70,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,31,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,32,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,222,1,startSyncRequest,17
"iPhone4,1",7.0.2,1,21,31,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,33,1,startSyncRequest,40
"iPhone4,1",7.0.2,1,21,114,1,startSyncRequest,18
"iPhone4,1",7.0.2,1,21,33,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,34,1,startSyncRequest,40
"iPhone4,1",7.0.2,1,21,40,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,35,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,36,1,startSyncRequest,40
"iPhone4,1",7.0.2,1,21,29,1,startSyncRequest,0
"iPhone4,1",7.0.2,1,21,45,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,434,1,startSyncRequest,11
"iPhone4,1",7.0.2,1,21,53,1,startSyncRequest,16
"iPhone4,1",7.0.2,1,21,31,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,41,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,33,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,39,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,31,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,32,1,startSyncRequest,0
"iPhone4,1",7.0.2,1,21,39,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,296,1,startSyncRequest,6
"iPhone4,1",7.0.2,1,21,42,1,startSyncRequest,20
"iPhone4,1",7.0.2,1,21,38,1,startSyncRequest,75
"iPhone4,1",7.0.2,1,21,41,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,82,1,startSyncRequest,20
"iPhone4,1",7.0.2,1,21,36,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,48,1,startSyncRequest,20
"iPhone4,1",7.0.2,1,21,36,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,37,1,startSyncRequest,20
"iPhone4,1",7.0.2,1,21,53,1,startSyncRequest,0
"iPhone4,1",7.0.2,1,21,376,1,startSyncRequest,7
"iPhone4,1",7.0.2,1,21,32,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,31,1,startSyncRequest,40
"iPhone4,1",7.0.2,1,21,129,1,startSyncRequest,8
"iPhone4,1",7.0.2,1,21,57,1,startSyncRequest,28
"iPhone4,1",7.0.2,1,21,64,1,startSyncRequest,14
"iPhone4,1",7.0.2,1,21,42,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,33,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,34,1,startSyncRequest,50
"iPhone4,1",7.0.2,1,21,49,1,startSyncRequest,20
"iPhone4,1",7.0.2,1,21,97,1,startSyncRequest,11
"iPhone4,1",7.0.2,1,21,112,1,startSyncRequest,15
"iPhone4,1",7.0.2,1,21,53,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,51,1,startSyncRequest,16
"iPhone4,1",7.0.2,1,21,34,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,328,1,startSyncRequest,8
"iPhone4,1",7.0.2,1,21,68,1,startSyncRequest,44
"iPhone4,1",7.0.2,1,21,36,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,86,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,42,1,startSyncRequest,40
"iPhone4,1",7.0.2,1,21,68,1,startSyncRequest,14
"iPhone4,1",7.0.2,1,21,117,1,startSyncRequest,8
"iPhone4,1",7.0.2,1,21,68,1,startSyncRequest,14
"iPhone4,1",7.0.2,1,21,44,1,startSyncRequest,40
"iPhone4,1",7.0.2,1,21,88,1,startSyncRequest,22
"iPhone4,1",7.0.2,1,21,29,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,43,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,32,1,startSyncRequest,50
"iPhone4,1",7.0.2,1,21,50,1,startSyncRequest,0
"iPhone4,1",7.0.2,1,21,420,1,startSyncRequest,13
"iPhone4,1",7.0.2,1,21,43,1,startSyncRequest,20
"iPhone4,1",7.0.2,1,21,36,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,36,1,startSyncRequest,40
"iPhone4,1",7.0.2,1,21,44,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,47,1,startSyncRequest,33
"iPhone4,1",7.0.2,1,21,343,1,startSyncRequest,5
"iPhone4,1",7.0.2,1,21,40,1,startSyncRequest,25
"iPhone4,1",7.0.2,1,21,40,1,startSyncRequest,25
