phoneType,iosVersion,embedMod,Cpu,networkType,Duration,methodName,Mem
"iPhone4,1",7.0.2,0,4,1,318,startSyncRequest,23814144
"iPhone4,1",7.0.2,0,14,1,139,startSyncRequest,23879680
"iPhone4,1",7.0.2,0,27,1,52,startSyncRequest,23916544
"iPhone4,1",7.0.2,0,26,1,67,startSyncRequest,23916544
"iPhone4,1",7.0.2,0,26,1,42,startSyncRequest,23916544
"iPhone4,1",7.0.2,0,12,1,108,startSyncRequest,23916544
"iPhone4,1",7.0.2,0,20,1,53,startSyncRequest,23916544
"iPhone4,1",7.0.2,0,16,1,88,startSyncRequest,23916544
"iPhone4,1",7.0.2,0,33,1,50,startSyncRequest,23916544
"iPhone4,1",7.0.2,0,18,1,58,startSyncRequest,23904256
"iPhone4,1",7.0.2,0,22,1,81,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,22,1,34,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,35,1,54,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,16,1,58,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,30,1,53,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,20,1,98,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,20,1,75,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,20,1,37,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,36,1,55,startSyncRequest,23916544
"iPhone4,1",7.0.2,0,11,1,219,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,30,1,60,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,11,1,176,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,18,1,231,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,20,1,120,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,26,1,86,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,26,1,38,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,29,1,41,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,16,1,89,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,9,1,345,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,36,1,49,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,25,1,60,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,25,1,40,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,30,1,53,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,11,1,125,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,11,1,43,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,36,1,48,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,36,1,39,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,21,1,47,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,21,1,35,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,26,1,83,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,20,1,97,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,22,1,83,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,40,1,44,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,26,1,66,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,22,1,89,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,8,1,390,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,45,1,43,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,18,1,77,startSyncRequest,23912448
"iPhone4,1",7.0.2,0,12,1,158,startSyncRequest,23912448
