phoneType,iosVersion,embedMod,Cpu,networkType,Duration,methodName,Mem
"iPhone3,1",7.1.2,1,24,1,823,conn_sync,14856192
"iPhone3,1",7.1.2,1,43,1,216,conn_sync,14786560
"iPhone3,1",7.1.2,1,47,1,171,conn_sync,14958592
"iPhone3,1",7.1.2,1,94,1,172,conn_sync,15048704
"iPhone3,1",7.1.2,1,68,1,369,conn_sync,15093760
"iPhone3,1",7.1.2,1,38,1,332,conn_sync,15204352
"iPhone3,1",7.1.2,1,88,1,452,conn_sync,15712256
"iPhone3,1",7.1.2,1,100,1,360,conn_sync,15818752
"iPhone3,1",7.1.2,1,96,1,283,conn_sync,16093184
"iPhone3,1",7.1.2,1,25,1,453,conn_sync,16216064
"iPhone3,1",7.1.2,1,31,1,217,conn_sync,16322560
"iPhone3,1",7.1.2,1,23,1,383,conn_sync,16412672
"iPhone3,1",7.1.2,1,38,1,165,conn_sync,16523264
"iPhone3,1",7.1.2,1,27,1,218,conn_sync,16650240
"iPhone3,1",7.1.2,1,66,1,259,conn_sync,16158720
"iPhone3,1",7.1.2,1,57,1,419,conn_sync,15749120
"iPhone3,1",7.1.2,1,42,1,284,conn_sync,15847424
"iPhone3,1",7.1.2,1,27,1,338,conn_sync,15962112
"iPhone3,1",7.1.2,1,35,1,209,conn_sync,16060416
"iPhone3,1",7.1.2,1,47,1,156,conn_sync,15953920
"iPhone3,1",7.1.2,1,26,1,418,conn_sync,16039936
"iPhone3,1",7.1.2,1,34,1,228,conn_sync,16113664
"iPhone3,1",7.1.2,1,25,1,280,conn_sync,16211968
"iPhone3,1",7.1.2,1,36,1,236,conn_sync,16297984
"iPhone3,1",7.1.2,1,25,1,351,conn_sync,16420864
"iPhone3,1",7.1.2,1,33,1,223,conn_sync,16506880
"iPhone3,1",7.1.2,1,41,1,167,conn_sync,16592896
"iPhone3,1",7.1.2,1,22,1,658,conn_sync,16642048
"iPhone3,1",7.1.2,1,27,1,356,conn_sync,16744448
"iPhone3,1",7.1.2,1,21,1,747,conn_sync,16834560
"iPhone3,1",7.1.2,1,34,1,227,conn_sync,16945152
"iPhone3,1",7.1.2,1,32,1,333,conn_sync,17059840
"iPhone3,1",7.1.2,1,28,1,270,conn_sync,17182720
"iPhone3,1",7.1.2,1,25,1,360,conn_sync,17215488
"iPhone3,1",7.1.2,1,37,1,144,conn_sync,17326080
"iPhone3,1",7.1.2,1,30,1,254,conn_sync,17424384
"iPhone3,1",7.1.2,1,33,1,182,conn_sync,17563648
"iPhone3,1",7.1.2,1,31,1,212,conn_sync,17604608
"iPhone3,1",7.1.2,1,36,1,211,conn_sync,17702912
"iPhone3,1",7.1.2,1,31,1,377,conn_sync,17801216
"iPhone3,1",7.1.2,1,29,1,258,conn_sync,17891328
"iPhone3,1",7.1.2,1,23,1,411,conn_sync,17436672
"iPhone3,1",7.1.2,1,22,1,360,conn_sync,17559552
"iPhone3,1",7.1.2,1,36,1,185,conn_sync,17649664
"iPhone3,1",7.1.2,1,30,1,221,conn_sync,17747968
"iPhone3,1",7.1.2,1,37,1,161,conn_sync,17842176
"iPhone3,1",7.1.2,1,31,1,573,conn_sync,16908288
"iPhone3,1",7.1.2,1,60,1,234,conn_sync,15679488
"iPhone3,1",7.1.2,1,52,1,192,conn_sync,15069184
"iPhone3,1",7.1.2,1,42,1,206,conn_sync,15106048
"iPhone3,1",7.1.2,1,26,1,186,conn_sync,15253504
"iPhone3,1",7.1.2,1,28,1,209,conn_sync,15335424
"iPhone3,1",7.1.2,1,38,1,127,conn_sync,15421440
"iPhone3,1",7.1.2,1,40,1,185,conn_sync,15507456
"iPhone3,1",7.1.2,1,40,1,216,conn_sync,15515648
"iPhone3,1",7.1.2,1,25,1,272,conn_sync,15622144
"iPhone3,1",7.1.2,1,31,1,201,conn_sync,15712256
"iPhone3,1",7.1.2,1,33,1,182,conn_sync,15798272
"iPhone3,1",7.1.2,1,38,1,202,conn_sync,15892480
"iPhone3,1",7.1.2,1,30,1,222,conn_sync,15982592
"iPhone3,1",7.1.2,1,27,1,176,conn_sync,16072704
"iPhone3,1",7.1.2,1,30,1,227,conn_sync,16162816
"iPhone3,1",7.1.2,1,30,1,292,conn_sync,16240640
"iPhone3,1",7.1.2,1,29,1,235,conn_sync,16330752
"iPhone3,1",7.1.2,1,13,1,60561,conn_sync,14671872
"iPhone3,1",7.1.2,1,56,1,208,conn_sync,14909440
"iPhone3,1",7.1.2,1,36,1,211,conn_sync,14815232
"iPhone3,1",7.1.2,1,30,1,292,conn_sync,14917632
"iPhone3,1",7.1.2,1,34,1,227,conn_sync,15028224
"iPhone3,1",7.1.2,1,34,1,315,conn_sync,15097856
"iPhone3,1",7.1.2,1,32,1,391,conn_sync,15208448
"iPhone3,1",7.1.2,1,37,1,270,conn_sync,15319040
"iPhone3,1",7.1.2,1,42,1,181,conn_sync,15425536
"iPhone3,1",7.1.2,1,47,1,174,conn_sync,15482880
"iPhone3,1",7.1.2,1,30,1,306,conn_sync,15638528
"iPhone3,1",7.1.2,1,33,1,319,conn_sync,15683584
"iPhone3,1",7.1.2,1,36,1,241,conn_sync,15781888
"iPhone3,1",7.1.2,1,45,1,198,conn_sync,15884288
"iPhone3,1",7.1.2,1,25,1,357,conn_sync,15978496
"iPhone3,1",7.1.2,1,33,1,267,conn_sync,16044032
"iPhone3,1",7.1.2,1,32,1,1247,conn_sync,16162816
"iPhone3,1",7.1.2,1,51,1,308,conn_sync,16166912
"iPhone3,1",7.1.2,1,52,1,336,conn_sync,14942208
"iPhone3,1",7.1.2,1,36,1,308,conn_sync,15020032
"iPhone3,1",7.1.2,1,30,1,437,conn_sync,15118336
"iPhone3,1",7.1.2,1,32,1,284,conn_sync,15216640
"iPhone3,1",7.1.2,1,30,1,356,conn_sync,15310848
"iPhone3,1",7.1.2,1,23,1,628,conn_sync,15413248
"iPhone3,1",7.1.2,1,18,1,1260,conn_sync,15495168
"iPhone3,1",7.1.2,1,32,1,288,conn_sync,15613952
"iPhone3,1",7.1.2,1,32,1,277,conn_sync,15704064
"iPhone3,1",7.1.2,1,34,1,315,conn_sync,15790080
"iPhone3,1",7.1.2,1,30,1,334,conn_sync,15904768
"iPhone3,1",7.1.2,1,33,1,349,conn_sync,15982592
"iPhone3,1",7.1.2,1,29,1,261,conn_sync,16089088
"iPhone3,1",7.1.2,1,28,1,501,conn_sync,16199680
"iPhone3,1",7.1.2,1,33,1,343,conn_sync,16261120
"iPhone3,1",7.1.2,1,44,1,181,conn_sync,16396288
"iPhone3,1",7.1.2,1,40,1,242,conn_sync,16474112
"iPhone3,1",7.1.2,1,41,1,234,conn_sync,16572416
"iPhone3,1",7.1.2,1,34,1,249,conn_sync,16678912
"iPhone3,1",7.1.2,1,45,1,190,conn_sync,16785408
"iPhone3,1",7.1.2,1,30,1,396,conn_sync,16887808
"iPhone3,1",7.1.2,1,37,1,232,conn_sync,16973824
"iPhone3,1",7.1.2,1,32,1,303,conn_sync,17076224
"iPhone3,1",7.1.2,1,39,1,228,conn_sync,17166336
"iPhone3,1",7.1.2,1,20,1,717,conn_sync,17260544
"iPhone3,1",7.1.2,1,34,1,338,conn_sync,17379328
"iPhone3,1",7.1.2,1,48,1,466,conn_sync,15912960
"iPhone3,1",7.1.2,1,47,1,361,conn_sync,15003648
"iPhone3,1",7.1.2,1,52,1,180,conn_sync,15106048
"iPhone3,1",7.1.2,1,31,1,312,conn_sync,15216640
"iPhone3,1",7.1.2,1,22,1,558,conn_sync,15310848
"iPhone3,1",7.1.2,1,35,1,305,conn_sync,15417344
