#,Total Threads,Physical Memory Wired,Physical Memory Active,Physical Memory Inactive,Physical Memory Used,Physical Memory Free,VM Size,Page Ins,Page Outs,Swap Used,Net Packets In,Net Bytes In,Net Packets Out,Net Bytes Out,Net Packets In Per Second,Net Packets Out Per Second,Net Bytes In Per Second,Net Bytes Out Per Second,Disk Read Ops,Disk Bytes Read,Disk Write Ops,Disk Bytes Written,Disk Read Ops Per Second,Disk Write Ops Per Second,Disk Bytes Read Per Second,Disk Bytes Written Per Second,% Total Load,% User Load,% System Load,% Nice Load
0,344,101715968,106213376,80871424,288800768,42164224,28869943296,205414400,1466368,0,76688,139448395,31343,115370091,<null>,<null>,<null>,<null>,57575,899342336,15242,1641340928,<null>,<null>,<null>,<null>,40.5774231,40.5774231,0,0
1,352,98136064,110243840,79872000,288251904,40501248,28971147264,205414400,1466368,0,76748,139506229,31395,115426852,45,39,43477,42670,57575,899342336,15314,1644535808,0,54,0,2401769,67.93404007,67.93404007,0,0
2,354,89862144,118022144,80896000,288780288,38551552,28972302336,205447168,1466368,0,76787,139567660,31405,115480920,36,9,56898,50078,57576,899350528,15326,1653653504,0,11,7587,8444906,48.14814758,48.14814758,0,0
3,354,98619392,110567424,81047552,290234368,34168832,28977164288,205447168,1466368,0,76833,139637509,31417,115536605,43,11,66676,53155,57576,899350528,15332,1658179584,0,5,0,4320481,61.71703339,61.71703339,0,0
4,354,89858048,115814400,81047552,286720000,37867520,28972113920,205447168,1466368,0,76853,139691239,31429,115589234,19,11,51533,50477,57576,899350528,15335,1660440576,0,2,0,2168542,16.19047594,16.19047594,0,0
5,356,94105600,114864128,81047552,290017280,36757504,28975673344,205447168,1466368,0,76875,139744508,31439,115641655,21,9,51105,50291,57578,899362816,15346,1660526592,1,10,11788,82522,46.15384483,46.15384483,0,0
6,354,93761536,114704384,81215488,289681408,36847616,28973068288,205479936,1466368,0,76895,139797766,31449,115694089,19,9,50973,50185,57582,899395584,15438,1661677568,3,88,31362,1101610,51.18131828,51.18131828,0,0
7,354,92397568,114917376,81215488,288530432,37650432,28972912640,205479936,1466368,0,76917,139851048,31459,115746523,20,9,50761,49953,57582,899395584,15438,1661677568,0,0,0,0,31.90476131,31.90476131,0,0
8,356,101888000,115003392,81530880,298422272,26439680,29056184320,205496320,1466368,0,76942,139908712,31467,115799579,23,7,55199,50788,57600,899575808,15440,1663942656,17,1,172520,2168266,53.59889984,53.59889984,0,0
9,348,101822464,115531776,82608128,299962368,15699968,29080051712,205529088,1466368,0,77017,140049555,31477,115856142,70,9,131987,53006,57602,899633152,15440,1663942656,1,0,53738,0,44.85981369,44.85981369,0,0
10,335,90132480,117567488,82612224,290312192,18997248,29071966208,205529088,1466368,0,77030,140102859,31485,115908517,12,7,50548,49667,57602,899633152,15447,1670737920,0,6,0,6444013,27.61904716,27.61904716,0,0
11,335,89423872,117932032,82608128,289964032,18399232,29072805888,205529088,1466368,0,77046,140155750,31495,115960938,15,9,50706,50255,57606,899686400,15450,1670922240,3,2,51048,176705,10.0274725,10.0274725,0,0
12,332,92192768,117436416,82612224,292241408,18116608,29071450112,205529088,1466368,0,77060,140208518,31505,116013370,13,9,50556,50234,57606,899686400,15450,1670922240,0,0,0,0,20.59523773,20.59523773,0,0
13,327,97738752,117112832,82644992,297496576,13434880,29076029440,205529088,1466368,0,77077,140267518,31515,116066538,16,9,56539,50950,57606,899686400,15450,1670922240,0,0,0,0,36.53846073,36.53846073,0,0
14,327,106172416,116871168,82706432,305750016,7921664,29085474816,205553664,1466368,0,77091,140320609,31525,116119543,13,9,50790,50707,57607,899715072,15455,1675300864,0,4,27429,4188851,39.670331,39.670331,0,0
