phoneType,iosVersion,embedMod,Cpu,networkType,Duration,methodName,Mem
"iPhone4,1",7.0.2,0,6,1,63,startSyncRequest,28348416
"iPhone4,1",7.0.2,0,6,1,29,startSyncRequest,28409856
"iPhone4,1",7.0.2,0,45,1,20,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,45,1,26,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,45,1,13,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,50,1,13,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,50,1,14,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,50,1,14,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,46,1,27,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,46,1,15,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,46,1,20,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,54,1,12,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,54,1,26,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,33,1,25,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,33,1,50,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,10,1,277,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,10,1,34,startSyncRequest,28848128
"iPhone4,1",7.0.2,0,37,1,35,startSyncRequest,28848128
"iPhone4,1",7.0.2,0,37,1,16,startSyncRequest,28835840
"iPhone4,1",7.0.2,0,41,1,41,startSyncRequest,28835840
"iPhone4,1",7.0.2,0,41,1,29,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,42,1,24,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,42,1,13,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,42,1,18,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,60,1,23,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,60,1,18,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,60,1,15,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,41,1,23,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,41,1,24,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,41,1,20,startSyncRequest,28844032
"iPhone4,1",7.0.2,0,33,1,22,startSyncRequest,28844032
