phoneType,iosVersion,embedMod,Cpu,networkType,Duration,methodName,Mem
"iPod5,1",8.1.1,0,15,1,616,conn_sync,15200256
"iPod5,1",8.1.1,0,15,1,18,conn_sync,15335424
"iPod5,1",8.1.1,0,15,1,15,conn_sync,15339520
"iPod5,1",8.1.1,0,66,1,14,conn_sync,15343616
"iPod5,1",8.1.1,0,66,1,16,conn_sync,15347712
"iPod5,1",8.1.1,0,66,1,18,conn_sync,15351808
"iPod5,1",8.1.1,0,61,1,18,conn_sync,15355904
"iPod5,1",8.1.1,0,61,1,16,conn_sync,15360000
"iPod5,1",8.1.1,0,61,1,16,conn_sync,15364096
"iPod5,1",8.1.1,0,45,1,17,conn_sync,15368192
"iPod5,1",8.1.1,0,45,1,14,conn_sync,15372288
"iPod5,1",8.1.1,0,45,1,15,conn_sync,15376384
"iPod5,1",8.1.1,0,45,1,16,conn_sync,15380480
"iPod5,1",8.1.1,0,64,1,18,conn_sync,15384576
"iPod5,1",8.1.1,0,64,1,16,conn_sync,15392768
"iPod5,1",8.1.1,0,64,1,15,conn_sync,15396864
"iPod5,1",8.1.1,0,36,1,15,conn_sync,15400960
"iPod5,1",8.1.1,0,36,1,15,conn_sync,15405056
"iPod5,1",8.1.1,0,36,1,16,conn_sync,15409152
"iPod5,1",8.1.1,0,36,1,13,conn_sync,15413248
"iPod5,1",8.1.1,0,54,1,14,conn_sync,15417344
"iPod5,1",8.1.1,0,54,1,12,conn_sync,15421440
"iPod5,1",8.1.1,0,54,1,15,conn_sync,15425536
"iPod5,1",8.1.1,0,54,1,15,conn_sync,15429632
"iPod5,1",8.1.1,0,50,1,15,conn_sync,15433728
"iPod5,1",8.1.1,0,50,1,14,conn_sync,15437824
"iPod5,1",8.1.1,0,50,1,14,conn_sync,15441920
"iPod5,1",8.1.1,0,50,1,14,conn_sync,15446016
"iPod5,1",8.1.1,0,50,1,17,conn_sync,15450112
"iPod5,1",8.1.1,0,50,1,20,conn_sync,15454208
"iPod5,1",8.1.1,0,50,1,16,conn_sync,15458304
"iPod5,1",8.1.1,0,58,1,14,conn_sync,15462400
"iPod5,1",8.1.1,0,58,1,15,conn_sync,15466496
"iPod5,1",8.1.1,0,58,1,16,conn_sync,15474688
"iPod5,1",8.1.1,0,60,1,15,conn_sync,15478784
"iPod5,1",8.1.1,0,60,1,16,conn_sync,15486976
"iPod5,1",8.1.1,0,60,1,15,conn_sync,15491072
"iPod5,1",8.1.1,0,60,1,15,conn_sync,15495168
"iPod5,1",8.1.1,0,60,1,17,conn_sync,15503360
"iPod5,1",8.1.1,0,60,1,18,conn_sync,15507456
"iPod5,1",8.1.1,0,61,1,17,conn_sync,15511552
"iPod5,1",8.1.1,0,61,1,12,conn_sync,15515648
"iPod5,1",8.1.1,0,61,1,15,conn_sync,15523840
"iPod5,1",8.1.1,0,61,1,16,conn_sync,15527936
"iPod5,1",8.1.1,0,53,1,15,conn_sync,15532032
"iPod5,1",8.1.1,0,53,1,15,conn_sync,15536128
"iPod5,1",8.1.1,0,53,1,14,conn_sync,15540224
"iPod5,1",8.1.1,0,53,1,14,conn_sync,15544320
"iPod5,1",8.1.1,0,46,1,19,conn_sync,15548416
"iPod5,1",8.1.1,0,46,1,14,conn_sync,15556608
"iPod5,1",8.1.1,0,46,1,13,conn_sync,15568896
"iPod5,1",8.1.1,0,46,1,15,conn_sync,15577088
"iPod5,1",8.1.1,0,50,1,16,conn_sync,15585280
"iPod5,1",8.1.1,0,50,1,15,conn_sync,15589376
"iPod5,1",8.1.1,0,50,1,16,conn_sync,15593472
"iPod5,1",8.1.1,0,40,1,16,conn_sync,15597568
"iPod5,1",8.1.1,0,40,1,16,conn_sync,15605760
"iPod5,1",8.1.1,0,40,1,18,conn_sync,15609856
"iPod5,1",8.1.1,0,50,1,18,conn_sync,15618048
"iPod5,1",8.1.1,0,50,1,18,conn_sync,15622144
"iPod5,1",8.1.1,0,50,1,18,conn_sync,15630336
"iPod5,1",8.1.1,0,58,1,15,conn_sync,15638528
"iPod5,1",8.1.1,0,58,1,18,conn_sync,15646720
"iPod5,1",8.1.1,0,58,1,19,conn_sync,15654912
"iPod5,1",8.1.1,0,50,1,18,conn_sync,15659008
"iPod5,1",8.1.1,0,50,1,17,conn_sync,15671296
"iPod5,1",8.1.1,0,50,1,16,conn_sync,15675392
"iPod5,1",8.1.1,0,60,1,14,conn_sync,15683584
"iPod5,1",8.1.1,0,60,1,15,conn_sync,15691776
"iPod5,1",8.1.1,0,60,1,12,conn_sync,15695872
"iPod5,1",8.1.1,0,60,1,17,conn_sync,15704064
"iPod5,1",8.1.1,0,50,1,17,conn_sync,15708160
"iPod5,1",8.1.1,0,50,1,14,conn_sync,15716352
"iPod5,1",8.1.1,0,50,1,15,conn_sync,15728640
"iPod5,1",8.1.1,0,50,1,14,conn_sync,15732736
"iPod5,1",8.1.1,0,50,1,13,conn_sync,15740928
"iPod5,1",8.1.1,0,50,1,15,conn_sync,15749120
"iPod5,1",8.1.1,0,50,1,15,conn_sync,15761408
"iPod5,1",8.1.1,0,40,1,14,conn_sync,15769600
"iPod5,1",8.1.1,0,40,1,16,conn_sync,15777792
"iPod5,1",8.1.1,0,40,1,17,conn_sync,15785984
"iPod5,1",8.1.1,0,50,1,16,conn_sync,15794176
"iPod5,1",8.1.1,0,50,1,15,conn_sync,15798272
"iPod5,1",8.1.1,0,50,1,14,conn_sync,15802368
"iPod5,1",8.1.1,0,50,1,15,conn_sync,15810560
"iPod5,1",8.1.1,0,50,1,15,conn_sync,15818752
"iPod5,1",8.1.1,0,50,1,15,conn_sync,15826944
"iPod5,1",8.1.1,0,50,1,16,conn_sync,15835136
"iPod5,1",8.1.1,0,60,1,15,conn_sync,15839232
"iPod5,1",8.1.1,0,60,1,16,conn_sync,15847424
"iPod5,1",8.1.1,0,60,1,17,conn_sync,15851520
"iPod5,1",8.1.1,0,58,1,18,conn_sync,15859712
"iPod5,1",8.1.1,0,58,1,17,conn_sync,15863808
"iPod5,1",8.1.1,0,58,1,14,conn_sync,15867904
"iPod5,1",8.1.1,0,63,1,14,conn_sync,15872000
"iPod5,1",8.1.1,0,63,1,18,conn_sync,15880192
"iPod5,1",8.1.1,0,63,1,17,conn_sync,15888384
"iPod5,1",8.1.1,0,63,1,15,conn_sync,15896576
"iPod5,1",8.1.1,0,63,1,14,conn_sync,15904768
"iPod5,1",8.1.1,0,63,1,17,conn_sync,15908864
"iPod5,1",8.1.1,0,50,1,16,conn_sync,15912960
"iPod5,1",8.1.1,0,50,1,23,conn_sync,15921152
"iPod5,1",8.1.1,0,50,1,14,conn_sync,15925248
"iPod5,1",8.1.1,0,61,1,16,conn_sync,15929344
"iPod5,1",8.1.1,0,61,1,18,conn_sync,15937536
"iPod5,1",8.1.1,0,61,1,16,conn_sync,15945728
