phoneType,iosVersion,embedMod,Cpu,networkType,Duration,methodName,Mem
"iPod5,1",8.2,0,28,2,346,startSyncRequest,35233792
"iPod5,1",8.2,0,28,2,37,startSyncRequest,35274752
"iPod5,1",8.2,0,41,2,16,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,14,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,11,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,12,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,14,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,16,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,13,startSyncRequest,35311616
"iPod5,1",8.2,0,50,2,14,startSyncRequest,35311616
"iPod5,1",8.2,0,50,2,13,startSyncRequest,35311616
"iPod5,1",8.2,0,50,2,11,startSyncRequest,35311616
"iPod5,1",8.2,0,50,2,13,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,12,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,13,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,13,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,15,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,13,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,14,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,13,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,10,startSyncRequest,35311616
"iPod5,1",8.2,0,46,2,13,startSyncRequest,35311616
"iPod5,1",8.2,0,46,2,12,startSyncRequest,35311616
"iPod5,1",8.2,0,46,2,12,startSyncRequest,35311616
"iPod5,1",8.2,0,46,2,14,startSyncRequest,35311616
"iPod5,1",8.2,0,46,2,13,startSyncRequest,35311616
"iPod5,1",8.2,0,46,2,13,startSyncRequest,35311616
"iPod5,1",8.2,0,46,2,13,startSyncRequest,35311616
"iPod5,1",8.2,0,46,2,13,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,12,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,13,startSyncRequest,35311616
"iPod5,1",8.2,0,41,2,13,startSyncRequest,35311616
"iPod5,1",8.2,0,63,2,18,startSyncRequest,35311616
"iPod5,1",8.2,0,63,2,19,startSyncRequest,35307520
"iPod5,1",8.2,0,63,2,15,startSyncRequest,35311616
"iPod5,1",8.2,0,60,2,21,startSyncRequest,35311616
"iPod5,1",8.2,0,60,2,15,startSyncRequest,35311616
"iPod5,1",8.2,0,91,2,16,startSyncRequest,35311616
"iPod5,1",8.2,0,91,2,35,startSyncRequest,35323904
"iPod5,1",8.2,0,90,2,13,startSyncRequest,35319808
"iPod5,1",8.2,0,90,2,14,startSyncRequest,35319808
"iPod5,1",8.2,0,78,2,18,startSyncRequest,35319808
"iPod5,1",8.2,0,78,2,17,startSyncRequest,35323904
"iPod5,1",8.2,0,91,2,14,startSyncRequest,35319808
"iPod5,1",8.2,0,91,2,14,startSyncRequest,35319808
"iPod5,1",8.2,0,84,2,19,startSyncRequest,35319808
"iPod5,1",8.2,0,84,2,21,startSyncRequest,35319808
"iPod5,1",8.2,0,76,2,19,startSyncRequest,35319808
"iPod5,1",8.2,0,76,2,28,startSyncRequest,35323904
"iPod5,1",8.2,0,85,2,18,startSyncRequest,35319808
"iPod5,1",8.2,0,85,2,12,startSyncRequest,35319808
"iPod5,1",8.2,0,85,2,13,startSyncRequest,35315712
"iPod5,1",8.2,0,78,2,24,startSyncRequest,35319808
"iPod5,1",8.2,0,78,2,17,startSyncRequest,35315712
"iPod5,1",8.2,0,77,2,14,startSyncRequest,35315712
"iPod5,1",8.2,0,77,2,14,startSyncRequest,35315712
"iPod5,1",8.2,0,78,2,21,startSyncRequest,35315712
"iPod5,1",8.2,0,78,2,16,startSyncRequest,35315712
"iPod5,1",8.2,0,91,2,17,startSyncRequest,35319808
"iPod5,1",8.2,0,91,2,20,startSyncRequest,35315712
"iPod5,1",8.2,0,84,2,17,startSyncRequest,35319808
"iPod5,1",8.2,0,84,2,20,startSyncRequest,35319808
"iPod5,1",8.2,0,84,2,17,startSyncRequest,35315712
"iPod5,1",8.2,0,76,2,18,startSyncRequest,35315712
"iPod5,1",8.2,0,76,2,15,startSyncRequest,35315712
"iPod5,1",8.2,0,76,2,21,startSyncRequest,35323904
"iPod5,1",8.2,0,81,2,15,startSyncRequest,35323904
"iPod5,1",8.2,0,81,2,15,startSyncRequest,35319808
"iPod5,1",8.2,0,90,2,15,startSyncRequest,35319808
"iPod5,1",8.2,0,90,2,14,startSyncRequest,35319808
"iPod5,1",8.2,0,78,2,22,startSyncRequest,35319808
"iPod5,1",8.2,0,78,2,14,startSyncRequest,35319808
"iPod5,1",8.2,0,78,2,25,startSyncRequest,35319808
"iPod5,1",8.2,0,78,2,19,startSyncRequest,35319808
"iPod5,1",8.2,0,84,2,18,startSyncRequest,35319808
"iPod5,1",8.2,0,84,2,19,startSyncRequest,35319808
"iPod5,1",8.2,0,76,2,19,startSyncRequest,35319808
"iPod5,1",8.2,0,76,2,19,startSyncRequest,35319808
"iPod5,1",8.2,0,78,2,19,startSyncRequest,35319808
"iPod5,1",8.2,0,78,2,18,startSyncRequest,35319808
"iPod5,1",8.2,0,84,2,18,startSyncRequest,35323904
"iPod5,1",8.2,0,84,2,15,startSyncRequest,35319808
"iPod5,1",8.2,0,84,2,14,startSyncRequest,35319808
"iPod5,1",8.2,0,76,2,14,startSyncRequest,35323904
"iPod5,1",8.2,0,76,2,17,startSyncRequest,35319808
"iPod5,1",8.2,0,70,2,17,startSyncRequest,35319808
"iPod5,1",8.2,0,70,2,14,startSyncRequest,35323904
"iPod5,1",8.2,0,63,2,18,startSyncRequest,35323904
"iPod5,1",8.2,0,63,2,15,startSyncRequest,35315712
"iPod5,1",8.2,0,63,2,14,startSyncRequest,35315712
"iPod5,1",8.2,0,69,2,15,startSyncRequest,35319808
"iPod5,1",8.2,0,69,2,23,startSyncRequest,35319808
"iPod5,1",8.2,0,70,2,13,startSyncRequest,35323904
"iPod5,1",8.2,0,70,2,20,startSyncRequest,35319808
"iPod5,1",8.2,0,70,2,15,startSyncRequest,35319808
"iPod5,1",8.2,0,64,2,21,startSyncRequest,35319808
"iPod5,1",8.2,0,64,2,25,startSyncRequest,35336192
"iPod5,1",8.2,0,69,2,22,startSyncRequest,35332096
"iPod5,1",8.2,0,69,2,16,startSyncRequest,35332096
"iPod5,1",8.2,0,76,2,18,startSyncRequest,35336192
"iPod5,1",8.2,0,76,2,21,startSyncRequest,35332096
"iPod5,1",8.2,0,70,2,14,startSyncRequest,35336192
"iPod5,1",8.2,0,70,2,23,startSyncRequest,35332096
"iPod5,1",8.2,0,70,2,13,startSyncRequest,35336192
"iPod5,1",8.2,0,70,2,20,startSyncRequest,35332096
"iPod5,1",8.2,0,70,2,21,startSyncRequest,35332096
"iPod5,1",8.2,0,68,2,20,startSyncRequest,35332096
"iPod5,1",8.2,0,68,2,18,startSyncRequest,35332096
"iPod5,1",8.2,0,83,2,27,startSyncRequest,35336192
"iPod5,1",8.2,0,83,2,16,startSyncRequest,35332096
"iPod5,1",8.2,0,83,2,15,startSyncRequest,35332096
"iPod5,1",8.2,0,81,2,20,startSyncRequest,35332096
"iPod5,1",8.2,0,81,2,21,startSyncRequest,35332096
"iPod5,1",8.2,0,85,2,20,startSyncRequest,35332096
"iPod5,1",8.2,0,85,2,17,startSyncRequest,35332096
"iPod5,1",8.2,0,84,2,17,startSyncRequest,35332096
"iPod5,1",8.2,0,84,2,15,startSyncRequest,35332096
"iPod5,1",8.2,0,84,2,15,startSyncRequest,35332096
"iPod5,1",8.2,0,84,2,20,startSyncRequest,35332096
"iPod5,1",8.2,0,83,2,20,startSyncRequest,35332096
"iPod5,1",8.2,0,83,2,20,startSyncRequest,35332096
"iPod5,1",8.2,0,86,2,32,startSyncRequest,35336192
"iPod5,1",8.2,0,86,2,13,startSyncRequest,35332096
"iPod5,1",8.2,0,86,2,25,startSyncRequest,35332096
"iPod5,1",8.2,0,73,2,17,startSyncRequest,35332096
"iPod5,1",8.2,0,73,2,16,startSyncRequest,35332096
"iPod5,1",8.2,0,76,2,18,startSyncRequest,35336192
"iPod5,1",8.2,0,76,2,18,startSyncRequest,35332096
"iPod5,1",8.2,0,91,2,17,startSyncRequest,35332096
"iPod5,1",8.2,0,91,2,22,startSyncRequest,35336192
"iPod5,1",8.2,0,80,2,17,startSyncRequest,35332096
"iPod5,1",8.2,0,80,2,20,startSyncRequest,35332096
"iPod5,1",8.2,0,84,2,19,startSyncRequest,35332096
"iPod5,1",8.2,0,84,2,20,startSyncRequest,35332096
"iPod5,1",8.2,0,84,2,17,startSyncRequest,35332096
"iPod5,1",8.2,0,84,2,16,startSyncRequest,35332096
"iPod5,1",8.2,0,88,2,31,startSyncRequest,35336192
"iPod5,1",8.2,0,88,2,28,startSyncRequest,35336192
"iPod5,1",8.2,0,88,2,15,startSyncRequest,35336192
"iPod5,1",8.2,0,87,2,14,startSyncRequest,35332096
"iPod5,1",8.2,0,87,2,14,startSyncRequest,35332096
"iPod5,1",8.2,0,81,2,15,startSyncRequest,35332096
"iPod5,1",8.2,0,81,2,19,startSyncRequest,35332096
"iPod5,1",8.2,0,85,2,20,startSyncRequest,35332096
"iPod5,1",8.2,0,85,2,19,startSyncRequest,35332096
"iPod5,1",8.2,0,83,2,20,startSyncRequest,35336192
"iPod5,1",8.2,0,83,2,28,startSyncRequest,35336192
"iPod5,1",8.2,0,92,2,14,startSyncRequest,35332096
"iPod5,1",8.2,0,92,2,15,startSyncRequest,35332096
"iPod5,1",8.2,0,83,2,14,startSyncRequest,35336192
"iPod5,1",8.2,0,83,2,20,startSyncRequest,35332096
"iPod5,1",8.2,0,78,2,19,startSyncRequest,35332096
"iPod5,1",8.2,0,78,2,15,startSyncRequest,35332096
"iPod5,1",8.2,0,78,2,13,startSyncRequest,35332096
"iPod5,1",8.2,0,63,2,26,startSyncRequest,35336192
"iPod5,1",8.2,0,63,2,29,startSyncRequest,35336192
"iPod5,1",8.2,0,63,2,14,startSyncRequest,35336192
"iPod5,1",8.2,0,87,2,14,startSyncRequest,35336192
"iPod5,1",8.2,0,87,2,19,startSyncRequest,35336192
"iPod5,1",8.2,0,84,2,16,startSyncRequest,35336192
"iPod5,1",8.2,0,84,2,17,startSyncRequest,35336192
"iPod5,1",8.2,0,76,2,15,startSyncRequest,35336192
