phoneType,iosVersion,embedMod,Cpu,networkType,Duration,methodName,Mem
"iPod5,1",8.2,0,10,2,108,conn_sync,15953920
"iPod5,1",8.2,0,10,2,18,conn_sync,15966208
"iPod5,1",8.2,0,10,2,18,conn_sync,15966208
"iPod5,1",8.2,0,100,2,16,conn_sync,15966208
"iPod5,1",8.2,0,100,2,33,conn_sync,15966208
"iPod5,1",8.2,0,100,2,18,conn_sync,15966208
"iPod5,1",8.2,0,100,2,18,conn_sync,15974400
"iPod5,1",8.2,0,100,2,20,conn_sync,15974400
"iPod5,1",8.2,0,100,2,15,conn_sync,15974400
"iPod5,1",8.2,0,100,2,15,conn_sync,15974400
"iPod5,1",8.2,0,100,2,21,conn_sync,15982592
"iPod5,1",8.2,0,100,2,17,conn_sync,15982592
"iPod5,1",8.2,0,100,2,16,conn_sync,15982592
"iPod5,1",8.2,0,100,2,17,conn_sync,15986688
"iPod5,1",8.2,0,72,2,16,conn_sync,15994880
"iPod5,1",8.2,0,72,2,19,conn_sync,15994880
"iPod5,1",8.2,0,72,2,16,conn_sync,15998976
"iPod5,1",8.2,0,83,2,16,conn_sync,15998976
"iPod5,1",8.2,0,83,2,19,conn_sync,15998976
"iPod5,1",8.2,0,83,2,18,conn_sync,15998976
"iPod5,1",8.2,0,100,2,18,conn_sync,16003072
"iPod5,1",8.2,0,100,2,19,conn_sync,16003072
"iPod5,1",8.2,0,100,2,19,conn_sync,16003072
"iPod5,1",8.2,0,76,2,19,conn_sync,16003072
"iPod5,1",8.2,0,76,2,16,conn_sync,16007168
"iPod5,1",8.2,0,76,2,18,conn_sync,16011264
"iPod5,1",8.2,0,83,2,14,conn_sync,16015360
"iPod5,1",8.2,0,83,2,17,conn_sync,16023552
"iPod5,1",8.2,0,83,2,17,conn_sync,16023552
"iPod5,1",8.2,0,63,2,16,conn_sync,16031744
"iPod5,1",8.2,0,63,2,16,conn_sync,16035840
"iPod5,1",8.2,0,63,2,18,conn_sync,16039936
"iPod5,1",8.2,0,66,2,19,conn_sync,16048128
"iPod5,1",8.2,0,66,2,16,conn_sync,16052224
"iPod5,1",8.2,0,66,2,16,conn_sync,16052224
"iPod5,1",8.2,0,72,2,14,conn_sync,16056320
"iPod5,1",8.2,0,72,2,16,conn_sync,16060416
"iPod5,1",8.2,0,72,2,16,conn_sync,16068608
"iPod5,1",8.2,0,60,2,33,conn_sync,16068608
"iPod5,1",8.2,0,60,2,17,conn_sync,16072704
"iPod5,1",8.2,0,60,2,19,conn_sync,16076800
"iPod5,1",8.2,0,66,2,18,conn_sync,16080896
"iPod5,1",8.2,0,66,2,14,conn_sync,16089088
"iPod5,1",8.2,0,66,2,20,conn_sync,16089088
"iPod5,1",8.2,0,66,2,18,conn_sync,16080896
"iPod5,1",8.2,0,66,2,17,conn_sync,16084992
"iPod5,1",8.2,0,66,2,15,conn_sync,16089088
"iPod5,1",8.2,0,72,2,22,conn_sync,16093184
"iPod5,1",8.2,0,72,2,18,conn_sync,16097280
"iPod5,1",8.2,0,72,2,21,conn_sync,16101376
"iPod5,1",8.2,0,66,2,25,conn_sync,16109568
"iPod5,1",8.2,0,66,2,16,conn_sync,16113664
"iPod5,1",8.2,0,66,2,17,conn_sync,16113664
"iPod5,1",8.2,0,66,2,16,conn_sync,16117760
"iPod5,1",8.2,0,66,2,14,conn_sync,16121856
"iPod5,1",8.2,0,66,2,15,conn_sync,16125952
"iPod5,1",8.2,0,66,2,15,conn_sync,16130048
"iPod5,1",8.2,0,66,2,24,conn_sync,16138240
"iPod5,1",8.2,0,66,2,13,conn_sync,16142336
"iPod5,1",8.2,0,69,2,16,conn_sync,16146432
"iPod5,1",8.2,0,69,2,15,conn_sync,16150528
"iPod5,1",8.2,0,69,2,17,conn_sync,16150528
"iPod5,1",8.2,0,60,2,16,conn_sync,16154624
"iPod5,1",8.2,0,60,2,17,conn_sync,16158720
"iPod5,1",8.2,0,60,2,15,conn_sync,16158720
"iPod5,1",8.2,0,72,2,16,conn_sync,16166912
"iPod5,1",8.2,0,72,2,14,conn_sync,16166912
"iPod5,1",8.2,0,72,2,18,conn_sync,16171008
"iPod5,1",8.2,0,70,2,17,conn_sync,16175104
"iPod5,1",8.2,0,70,2,19,conn_sync,16175104
"iPod5,1",8.2,0,70,2,16,conn_sync,16166912
"iPod5,1",8.2,0,64,2,16,conn_sync,16166912
"iPod5,1",8.2,0,64,2,15,conn_sync,16175104
"iPod5,1",8.2,0,64,2,14,conn_sync,16175104
"iPod5,1",8.2,0,64,2,13,conn_sync,16183296
"iPod5,1",8.2,0,91,2,14,conn_sync,16183296
"iPod5,1",8.2,0,91,2,22,conn_sync,16187392
"iPod5,1",8.2,0,91,2,17,conn_sync,16191488
"iPod5,1",8.2,0,71,2,14,conn_sync,16199680
"iPod5,1",8.2,0,71,2,15,conn_sync,16199680
"iPod5,1",8.2,0,71,2,16,conn_sync,16203776
"iPod5,1",8.2,0,80,2,15,conn_sync,16211968
"iPod5,1",8.2,0,80,2,15,conn_sync,16216064
"iPod5,1",8.2,0,80,2,20,conn_sync,16216064
"iPod5,1",8.2,0,80,2,16,conn_sync,16220160
"iPod5,1",8.2,0,80,2,12,conn_sync,16220160
"iPod5,1",8.2,0,80,2,14,conn_sync,16224256
"iPod5,1",8.2,0,80,2,14,conn_sync,16232448
