phoneType,iosVersion,embedMod,Cpu,networkType,Duration,methodName,Mem
"iPod5,1",8.1.1,0,3,2,970,startSyncRequest,20717568
"iPod5,1",8.1.1,0,7,2,4823,startSyncRequest,20824064
"iPod5,1",8.1.1,0,14,2,44,startSyncRequest,20836352
"iPod5,1",8.1.1,0,14,2,44,startSyncRequest,20836352
"iPod5,1",8.1.1,0,15,2,45,startSyncRequest,20836352
"iPod5,1",8.1.1,0,14,2,48,startSyncRequest,20836352
"iPod5,1",8.1.1,0,17,2,30,startSyncRequest,20832256
"iPod5,1",8.1.1,0,17,2,43,startSyncRequest,20836352
"iPod5,1",8.1.1,0,13,2,52,startSyncRequest,20836352
"iPod5,1",8.1.1,0,15,2,45,startSyncRequest,20836352
"iPod5,1",8.1.1,0,15,2,44,startSyncRequest,20836352
"iPod5,1",8.1.1,0,13,2,44,startSyncRequest,20832256
"iPod5,1",8.1.1,0,13,2,43,startSyncRequest,20836352
"iPod5,1",8.1.1,0,17,2,44,startSyncRequest,20836352
"iPod5,1",8.1.1,0,14,2,46,startSyncRequest,20836352
"iPod5,1",8.1.1,0,14,2,43,startSyncRequest,20434944
"iPod5,1",8.1.1,0,14,2,46,startSyncRequest,20434944
"iPod5,1",8.1.1,0,15,2,45,startSyncRequest,20434944
"iPod5,1",8.1.1,0,14,2,43,startSyncRequest,20434944
"iPod5,1",8.1.1,0,14,2,44,startSyncRequest,20430848
"iPod5,1",8.1.1,0,14,2,45,startSyncRequest,20434944
"iPod5,1",8.1.1,0,15,2,43,startSyncRequest,20434944
"iPod5,1",8.1.1,0,16,2,18,startSyncRequest,20434944
"iPod5,1",8.1.1,0,14,2,42,startSyncRequest,20434944
"iPod5,1",8.1.1,0,15,2,45,startSyncRequest,20430848
"iPod5,1",8.1.1,0,14,2,47,startSyncRequest,20422656
"iPod5,1",8.1.1,0,16,2,46,startSyncRequest,20422656
"iPod5,1",8.1.1,0,16,2,44,startSyncRequest,20422656
"iPod5,1",8.1.1,0,15,2,43,startSyncRequest,20422656
"iPod5,1",8.1.1,0,14,2,43,startSyncRequest,20418560
"iPod5,1",8.1.1,0,13,2,43,startSyncRequest,20422656
"iPod5,1",8.1.1,0,15,2,44,startSyncRequest,20422656
"iPod5,1",8.1.1,0,14,2,46,startSyncRequest,20422656
"iPod5,1",8.1.1,0,15,2,44,startSyncRequest,20422656
"iPod5,1",8.1.1,0,12,2,43,startSyncRequest,20418560
"iPod5,1",8.1.1,0,14,2,43,startSyncRequest,20422656
"iPod5,1",8.1.1,0,15,2,44,startSyncRequest,20422656
"iPod5,1",8.1.1,0,15,2,44,startSyncRequest,20422656
"iPod5,1",8.1.1,0,12,2,44,startSyncRequest,20422656
"iPod5,1",8.1.1,0,14,2,43,startSyncRequest,20418560
"iPod5,1",8.1.1,0,15,2,18,startSyncRequest,20422656
"iPod5,1",8.1.1,0,17,2,42,startSyncRequest,20422656
"iPod5,1",8.1.1,0,15,2,44,startSyncRequest,20422656
"iPod5,1",8.1.1,0,14,2,44,startSyncRequest,20422656
"iPod5,1",8.1.1,0,14,2,43,startSyncRequest,20418560
"iPod5,1",8.1.1,0,12,2,44,startSyncRequest,20422656
"iPod5,1",8.1.1,0,14,2,44,startSyncRequest,20422656
"iPod5,1",8.1.1,0,16,2,46,startSyncRequest,20422656
"iPod5,1",8.1.1,0,12,2,44,startSyncRequest,20422656
"iPod5,1",8.1.1,0,14,2,43,startSyncRequest,20418560
"iPod5,1",8.1.1,0,15,2,44,startSyncRequest,20422656
"iPod5,1",8.1.1,0,15,2,44,startSyncRequest,20422656
"iPod5,1",8.1.1,0,16,2,18,startSyncRequest,20422656
"iPod5,1",8.1.1,0,14,2,44,startSyncRequest,20422656
"iPod5,1",8.1.1,0,14,2,43,startSyncRequest,20418560
