phoneType,iosVersion,embedMod,Cpu,networkType,Duration,methodName,Mem
"iPod5,1",8.1.1,0,13,2,99,startSyncRequest,25931776
"iPod5,1",8.1.1,0,13,2,38,startSyncRequest,25985024
"iPod5,1",8.1.1,0,64,2,22,startSyncRequest,26017792
"iPod5,1",8.1.1,0,64,2,20,startSyncRequest,26017792
"iPod5,1",8.1.1,0,64,2,20,startSyncRequest,26017792
"iPod5,1",8.1.1,0,53,2,19,startSyncRequest,26017792
"iPod5,1",8.1.1,0,53,2,18,startSyncRequest,26017792
"iPod5,1",8.1.1,0,53,2,20,startSyncRequest,26017792
"iPod5,1",8.1.1,0,58,2,19,startSyncRequest,26017792
"iPod5,1",8.1.1,0,58,2,17,startSyncRequest,26017792
"iPod5,1",8.1.1,0,58,2,18,startSyncRequest,26017792
"iPod5,1",8.1.1,0,41,2,17,startSyncRequest,26017792
"iPod5,1",8.1.1,0,41,2,17,startSyncRequest,26017792
"iPod5,1",8.1.1,0,41,2,17,startSyncRequest,26017792
"iPod5,1",8.1.1,0,50,2,17,startSyncRequest,26017792
"iPod5,1",8.1.1,0,50,2,17,startSyncRequest,26017792
"iPod5,1",8.1.1,0,50,2,18,startSyncRequest,26017792
"iPod5,1",8.1.1,0,45,2,17,startSyncRequest,26017792
"iPod5,1",8.1.1,0,45,2,21,startSyncRequest,26017792
"iPod5,1",8.1.1,0,45,2,19,startSyncRequest,26017792
"iPod5,1",8.1.1,0,46,2,23,startSyncRequest,26017792
"iPod5,1",8.1.1,0,46,2,19,startSyncRequest,26017792
"iPod5,1",8.1.1,0,46,2,18,startSyncRequest,26017792
"iPod5,1",8.1.1,0,46,2,18,startSyncRequest,26017792
"iPod5,1",8.1.1,0,46,2,21,startSyncRequest,26021888
"iPod5,1",8.1.1,0,70,2,27,startSyncRequest,26021888
"iPod5,1",8.1.1,0,70,2,23,startSyncRequest,26025984
"iPod5,1",8.1.1,0,84,2,21,startSyncRequest,26021888
"iPod5,1",8.1.1,0,84,2,17,startSyncRequest,26021888
"iPod5,1",8.1.1,0,80,2,24,startSyncRequest,26021888
"iPod5,1",8.1.1,0,80,2,23,startSyncRequest,26021888
"iPod5,1",8.1.1,0,85,2,22,startSyncRequest,26021888
"iPod5,1",8.1.1,0,85,2,18,startSyncRequest,26021888
"iPod5,1",8.1.1,0,80,2,21,startSyncRequest,26021888
"iPod5,1",8.1.1,0,80,2,18,startSyncRequest,26021888
"iPod5,1",8.1.1,0,84,2,19,startSyncRequest,26021888
"iPod5,1",8.1.1,0,84,2,20,startSyncRequest,26021888
"iPod5,1",8.1.1,0,86,2,20,startSyncRequest,26021888
"iPod5,1",8.1.1,0,86,2,21,startSyncRequest,26021888
"iPod5,1",8.1.1,0,80,2,18,startSyncRequest,26021888
"iPod5,1",8.1.1,0,80,2,19,startSyncRequest,26021888
"iPod5,1",8.1.1,0,80,2,18,startSyncRequest,26021888
"iPod5,1",8.1.1,0,80,2,29,startSyncRequest,26021888
"iPod5,1",8.1.1,0,69,2,24,startSyncRequest,26025984
"iPod5,1",8.1.1,0,69,2,20,startSyncRequest,26021888
"iPod5,1",8.1.1,0,85,2,18,startSyncRequest,26021888
"iPod5,1",8.1.1,0,85,2,19,startSyncRequest,26021888
"iPod5,1",8.1.1,0,88,2,36,startSyncRequest,26025984
"iPod5,1",8.1.1,0,88,2,22,startSyncRequest,26021888
"iPod5,1",8.1.1,0,84,2,20,startSyncRequest,26021888
"iPod5,1",8.1.1,0,84,2,20,startSyncRequest,26021888
"iPod5,1",8.1.1,0,85,2,21,startSyncRequest,26021888
"iPod5,1",8.1.1,0,85,2,21,startSyncRequest,26021888
"iPod5,1",8.1.1,0,78,2,20,startSyncRequest,26021888
"iPod5,1",8.1.1,0,78,2,17,startSyncRequest,26021888
"iPod5,1",8.1.1,0,86,2,19,startSyncRequest,26021888
