phoneType,iosVersion,embedMod,Cpu,networkType,Duration,methodName,Mem
"iPod5,1",8.1.1,0,11,2,64,conn_sync,15159296
"iPod5,1",8.1.1,0,7,2,43,conn_sync,15175680
"iPod5,1",8.1.1,0,5,2,43,conn_sync,15179776
"iPod5,1",8.1.1,0,8,2,42,conn_sync,15147008
"iPod5,1",8.1.1,0,5,2,42,conn_sync,15151104
"iPod5,1",8.1.1,0,7,2,42,conn_sync,15159296
"iPod5,1",8.1.1,0,7,2,42,conn_sync,15163392
"iPod5,1",8.1.1,0,5,2,42,conn_sync,15171584
"iPod5,1",8.1.1,0,7,2,41,conn_sync,15175680
"iPod5,1",8.1.1,0,16,2,42,conn_sync,15138816
"iPod5,1",8.1.1,0,8,2,45,conn_sync,15138816
"iPod5,1",8.1.1,0,7,2,42,conn_sync,15142912
"iPod5,1",8.1.1,0,5,2,43,conn_sync,15147008
"iPod5,1",8.1.1,0,11,2,42,conn_sync,15151104
"iPod5,1",8.1.1,0,8,2,43,conn_sync,15159296
"iPod5,1",8.1.1,0,5,2,42,conn_sync,15167488
"iPod5,1",8.1.1,0,5,2,43,conn_sync,15171584
"iPod5,1",8.1.1,0,7,2,42,conn_sync,15179776
"iPod5,1",8.1.1,0,16,2,43,conn_sync,15159296
"iPod5,1",8.1.1,0,5,2,42,conn_sync,15159296
"iPod5,1",8.1.1,0,7,2,43,conn_sync,15163392
"iPod5,1",8.1.1,0,7,2,42,conn_sync,15167488
"iPod5,1",8.1.1,0,6,2,17,conn_sync,15171584
"iPod5,1",8.1.1,0,5,2,37,conn_sync,15175680
"iPod5,1",8.1.1,0,11,2,18,conn_sync,15179776
"iPod5,1",8.1.1,0,6,2,17,conn_sync,15183872
"iPod5,1",8.1.1,0,7,2,44,conn_sync,15187968
"iPod5,1",8.1.1,0,5,2,42,conn_sync,15196160
"iPod5,1",8.1.1,0,18,2,42,conn_sync,15163392
"iPod5,1",8.1.1,0,6,2,17,conn_sync,15163392
"iPod5,1",8.1.1,0,7,2,41,conn_sync,15167488
"iPod5,1",8.1.1,0,7,2,41,conn_sync,15171584
"iPod5,1",8.1.1,0,4,2,42,conn_sync,15175680
"iPod5,1",8.1.1,0,6,2,44,conn_sync,15179776
"iPod5,1",8.1.1,0,21,2,42,conn_sync,15290368
"iPod5,1",8.1.1,0,10,2,41,conn_sync,15343616
"iPod5,1",8.1.1,0,6,2,42,conn_sync,15351808
"iPod5,1",8.1.1,0,5,2,42,conn_sync,15355904
"iPod5,1",8.1.1,0,18,2,42,conn_sync,15339520
"iPod5,1",8.1.1,0,6,2,60,conn_sync,15339520
"iPod5,1",8.1.1,0,5,2,42,conn_sync,15343616
"iPod5,1",8.1.1,0,8,2,43,conn_sync,15347712
"iPod5,1",8.1.1,0,5,2,42,conn_sync,15351808
"iPod5,1",8.1.1,0,7,2,22,conn_sync,15360000
"iPod5,1",8.1.1,0,8,2,44,conn_sync,15364096
"iPod5,1",8.1.1,0,5,2,47,conn_sync,15368192
"iPod5,1",8.1.1,0,8,2,43,conn_sync,15376384
"iPod5,1",8.1.1,0,8,2,45,conn_sync,15384576
"iPod5,1",8.1.1,0,16,2,43,conn_sync,15355904
"iPod5,1",8.1.1,0,5,2,43,conn_sync,15355904
"iPod5,1",8.1.1,0,5,2,45,conn_sync,15364096
"iPod5,1",8.1.1,0,6,2,45,conn_sync,15368192
"iPod5,1",8.1.1,0,7,2,43,conn_sync,15372288
"iPod5,1",8.1.1,0,8,2,43,conn_sync,15376384
"iPod5,1",8.1.1,0,7,2,43,conn_sync,15380480
"iPod5,1",8.1.1,0,5,2,39,conn_sync,15384576
"iPod5,1",8.1.1,0,7,2,44,conn_sync,15388672
"iPod5,1",8.1.1,0,7,2,42,conn_sync,15396864
"iPod5,1",8.1.1,0,16,2,44,conn_sync,15364096
"iPod5,1",8.1.1,0,5,2,45,conn_sync,15364096
"iPod5,1",8.1.1,0,7,2,42,conn_sync,15368192
"iPod5,1",8.1.1,0,7,2,42,conn_sync,15372288
"iPod5,1",8.1.1,0,5,2,43,conn_sync,15376384
"iPod5,1",8.1.1,0,7,2,42,conn_sync,15380480
"iPod5,1",8.1.1,0,5,2,42,conn_sync,15384576
"iPod5,1",8.1.1,0,7,2,43,conn_sync,15388672
"iPod5,1",8.1.1,0,7,2,43,conn_sync,15392768
"iPod5,1",8.1.1,0,8,2,42,conn_sync,15405056
"iPod5,1",8.1.1,0,15,2,42,conn_sync,15376384
"iPod5,1",8.1.1,0,5,2,42,conn_sync,15376384
"iPod5,1",8.1.1,0,7,2,42,conn_sync,15380480
"iPod5,1",8.1.1,0,8,2,42,conn_sync,15384576
"iPod5,1",8.1.1,0,20,2,43,conn_sync,15388672
"iPod5,1",8.1.1,0,5,2,42,conn_sync,15392768
"iPod5,1",8.1.1,0,8,2,42,conn_sync,15396864
"iPod5,1",8.1.1,0,5,2,41,conn_sync,15405056
"iPod5,1",8.1.1,0,7,2,42,conn_sync,15409152
"iPod5,1",8.1.1,0,14,2,42,conn_sync,15380480
"iPod5,1",8.1.1,0,7,2,42,conn_sync,15380480
"iPod5,1",8.1.1,0,7,2,42,conn_sync,15384576
