Duration,Mem,Cpu
25,714600448,19
68,715476992,18
53,714571776,18
52,713854976,18
57,714579968,17
43,715358208,16
40,716603392,16
47,714711040,15
180,715866112,14
53,715362304,14
42,713486336,14
38,713256960,14
79,716181504,13
76,715575296,13
50,715612160,13
45,715739136,13
42,714469376,13
26,713129984,13
47,715235328,12
42,715710464,12
41,714571776,12
36,715739136,12
33,715603968,12
25,715608064,12
103,712253440,11
98,713293824,11
70,714076160,11
66,711204864,11
64,713371648,11
54,714727424,11
53,712892416,11
45,714473472,11
44,713396224,11
40,714735616,11
38,715608064,11
35,714829824,11
32,715612160,11
32,713388032,11
31,713142272,11
29,715612160,11
25,713256960,11
142,713736192,10
123,716206080,10
70,714215424,10
61,715612160,10
60,714342400,10
59,713736192,10
53,714010624,10
53,716857344,10
51,714223616,10
49,715358208,10
47,715739136,10
41,713224192,10
38,713015296,10
33,714575872,10
33,715362304,10
33,713269248,10
32,713240576,10
31,714199040,10
28,715608064,10
127,714604544,9
116,715362304,9
95,714240000,9
94,712994816,9
89,713379840,9
78,713478144,9
77,714592256,9
76,714473472,9
73,713117696,9
72,713289728,9
72,715612160,9
64,713416704,9
64,716722176,9
61,713396224,9
57,713854976,9
53,715988992,9
52,716730368,9
52,714223616,9
51,714854400,9
51,713969664,9
47,715739136,9
45,715239424,9
45,714981376,9
43,713711616,9
42,716488704,9
42,714735616,9
42,713256960,9
41,716603392,9
41,715739136,9
41,715841536,9
41,713523200,9
39,715612160,9
39,713736192,9
37,714469376,9
37,713351168,9
37,713396224,9
36,712478720,9
36,713326592,9
34,716361728,9
34,715612160,9
31,715231232,9
31,714989568,9
30,713863168,9
28,713003008,9
27,715739136,9
121,714014720,8
98,715108352,8
92,714477568,8
89,715108352,8
87,712855552,8
85,711999488,8
84,714354688,8
84,713224192,8
75,715485184,8
75,715616256,8
74,713232384,8
71,715976704,8
71,714719232,8
68,714354688,8
67,715988992,8
67,713269248,8
65,712495104,8
63,712376320,8
63,713760768,8
61,715362304,8
59,714735616,8
57,715489280,8
56,713244672,8
55,715612160,8
54,715739136,8
54,715866112,8
54,713633792,8
52,713256960,8
51,714346496,8
51,713498624,8
49,715112448,8
47,713162752,8
47,714088448,8
46,714600448,8
44,714096640,8
43,713359360,8
42,712630272,8
42,715485184,8
42,713486336,8
41,712253440,8
41,715612160,8
41,715227136,8
40,713609216,8
39,716103680,8
39,714600448,8
38,715866112,8
37,714600448,8
36,715739136,8
36,714862592,8
35,715362304,8
35,714342400,8
34,713416704,8
34,714350592,8
34,714223616,8
33,715239424,8
33,713760768,8
32,716603392,8
32,714223616,8
32,713498624,8
31,711213056,8
30,716230656,8
30,714854400,8
29,714469376,8
29,713015296,8
28,716115968,8
28,714702848,8
28,713396224,8
27,715493376,8
27,714862592,8
25,713822208,8
24,713441280,8
23,715489280,8
19,713154560,8
168,713977856,7
166,715739136,7
162,714076160,7
156,716361728,7
153,713015296,7
149,715739136,7
145,713736192,7
145,713359360,7
143,714346496,7
123,713269248,7
115,713256960,7
112,712757248,7
112,714579968,7
109,713129984,7
107,716595200,7
104,713375744,7
103,714223616,7
99,713863168,7
98,714862592,7
94,713396224,7
91,713498624,7
88,715108352,7
87,712884224,7
87,714600448,7
86,713256960,7
83,713887744,7
82,713637888,7
81,714219520,7
81,713015296,7
75,715231232,7
74,716361728,7
72,716369920,7
71,715235328,7
71,713256960,7
67,713863168,7
66,715239424,7
65,716357632,7
65,713498624,7
64,713822208,7
64,715239424,7
63,716361728,7
63,714727424,7
63,713609216,7
62,715235328,7
62,713728000,7
61,714350592,7
61,714727424,7
61,713244672,7
61,713396224,7
60,713736192,7
