Count,Time,ResponseCode,Duration,Mem,Cpu
149,1419923460716,200,587,520638464,6
109,1419923412844,200,585,520749056,4
279,1419923563876,200,584,520122368,5
1955,1419924754946,200,579,519184384,4
1976,1419924773870,200,575,519151616,4
123,1419923435840,200,573,520605696,4
102,1419923406084,200,572,520749056,4
277,1419923562109,200,569,520114176,5
889,1419924016506,200,564,521117696,4
1080,1419924157342,200,562,520007680,4
1070,1419924149277,200,558,520040448,6
1742,1419924599117,200,555,519774208,6
164,1419923476123,200,548,520474624,5
1970,1419924767058,200,545,519151616,6
934,1419924049536,200,540,521023488,4
518,1419923742536,200,537,519639040,7
781,1419923936684,200,534,519811072,5
879,1419924009098,200,534,520658944,5
1985,1419924781028,200,531,519188480,4
505,1419923727075,200,530,519606272,6
1314,1419924320584,200,522,519430144,3
1002,1419924096631,200,521,520429568,5
453,1419923690314,200,520,519536640,5
1644,1419924534603,200,518,520265728,5
1901,1419924705827,200,516,519421952,5
1096,1419924168213,200,515,520040448,4
421,1419923667893,200,514,519876608,4
184,1419923495694,200,511,520589312,3
630,1419923820565,200,510,519983104,4
100,1419923402880,200,507,520851456,4
868,1419924001105,200,507,519602176,6
877,1419924007446,200,502,520724480,5
792,1419923944282,200,497,519684096,4
1426,1419924392492,200,496,519286784,4
281,1419923565603,200,491,519995392,4
1990,1419924785632,200,486,518774784,5
181,1419923492762,200,482,520589312,4
1503,1419924442332,200,473,519057408,3
112,1419923416351,200,470,520732672,3
1983,1419924779357,200,470,519155712,4
488,1419923715655,200,468,519733248,6
1310,1419924317510,200,464,519426048,4
129,1419923441265,200,464,520478720,7
111,1419923415366,200,457,520732672,4
1875,1419924686566,200,457,519536640,6
196,1419923504865,200,456,520462336,5
1993,1419924789594,200,455,518868992,4
885,1419924013413,200,454,520937472,4
147,1419923459195,200,453,520638464,5
1514,1419924449711,200,451,519057408,5
1018,1419924106971,200,449,520556544,5
594,1419923794615,200,447,520015872,5
142,1419923454362,200,445,520605696,3
1943,1419924745369,200,445,519278592,3
1766,1419924615386,200,445,519634944,4
429,1419923673756,200,445,519872512,5
677,1419923866419,200,442,519884800,4
447,1419923686108,200,435,519745536,5
1961,1419924759586,200,435,519151616,6
941,1419924054238,200,434,521023488,5
479,1419923709373,200,433,519376896,5
1148,1419924203034,200,432,519946240,4
413,1419923662433,200,429,519876608,4
1450,1419924408445,200,428,519286784,5
1962,1419924760527,200,427,519151616,5
695,1419923878224,200,426,520011776,6
876,1419924006511,200,423,520712192,5
514,1419923739447,200,421,519639040,4
767,1419923927266,200,421,519778304,5
725,1419923898717,200,419,519933952,4
1312,1419924319062,200,419,519442432,4
835,1419923975597,200,419,519757824,5
1497,1419924438244,200,419,519057408,5
1093,1419924166062,200,416,520040448,5
1757,1419924609450,200,415,519401472,5
134,1419923445917,200,415,520605696,7
842,1419923980403,200,414,519725056,3
155,1419923467687,200,414,520658944,5
