Count,Time,ResponseCode,Duration,Mem,Cpu
1950,1419926250927,200,597,523931648,5
112,1419924878121,200,597,521191424,4
1052,1419925599626,200,595,525070336,4
710,1419925340961,200,594,520728576,4
479,1419925164144,200,585,521097216,6
1103,1419925641217,200,585,524656640,5
1896,1419926209359,200,584,523956224,5
253,1419925003465,200,584,521994240,4
403,1419925109407,200,583,521396224,4
878,1419925470485,200,566,522174464,5
163,1419924919059,200,563,522612736,5
243,1419924981419,200,559,522248192,7
283,1419925025630,200,557,521490432,5
1732,1419926080072,200,553,524607488,4
431,1419925131025,200,551,521400320,4
108,1419924874576,200,548,521191424,4
249,1419924987549,200,547,521994240,5
381,1419925094176,200,540,521269248,4
602,1419925257559,200,540,521011200,3
1003,1419925562337,200,537,525328384,4
1979,1419926277448,200,533,525094912,0
1057,1419925607357,200,529,525000704,4
1060,1419925609748,200,528,525000704,5
122,1419924885340,200,526,521199616,4
868,1419925461075,200,524,522174464,4
1490,1419925916583,200,521,525197312,7
1165,1419925690337,200,521,524210176,6
615,1419925269170,200,521,520486912,5
294,1419925034334,200,521,521478144,4
1209,1419925723333,200,521,524455936,4
627,1419925278986,200,520,520765440,5
1077,1419925622438,200,517,524673024,4
205,1419924953246,200,514,522358784,4
702,1419925334024,200,511,520695808,4
1846,1419926162927,200,509,524161024,4
1072,1419925618185,200,508,524800000,5
42,1419924829348,200,508,518737920,3
211,1419924958264,200,508,522358784,3
292,1419925032505,200,505,521478144,4
1182,1419925702767,200,502,524455936,5
429,1419925129199,200,501,521400320,4
111,1419924877105,200,500,521191424,5
325,1419925056482,200,496,521609216,5
1043,1419925592361,200,495,525070336,5
1481,1419925910333,200,492,525197312,11
1392,1419925849182,200,490,525496320,6
462,1419925151656,200,486,521129984,8
1484,1419925912605,200,486,525197312,6
851,1419925449217,200,486,521891840,5
568,1419925233054,200,486,521007104,4
1865,1419926187425,200,484,524079104,4
145,1419924902555,200,483,521191424,6
190,1419924939347,200,481,522485760,5
5,1419924802268,200,481,518864896,4
1237,1419925742193,200,480,524455936,6
899,1419925487539,200,479,522170368,6
1700,1419926058051,200,474,524611584,4
1051,1419925598636,200,473,525070336,5
198,1419924945705,200,473,522485760,4
831,1419925434475,200,472,522055680,5
