phoneType,iosVersion,embedMod,Cpu,networkType,Duration,methodName,Mem
"iPhone4,1",7.0.2,1,4,1,744,startSyncRequest,33472512
"iPhone4,1",7.0.2,1,7,1,818,startSyncRequest,33533952
"iPhone4,1",7.0.2,1,14,1,578,startSyncRequest,33955840
"iPhone4,1",7.0.2,1,6,1,752,startSyncRequest,33964032
"iPhone4,1",7.0.2,1,27,1,75,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,27,1,31,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,33,1,38,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,17,1,174,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,17,1,42,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,35,1,20,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,35,1,21,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,23,1,38,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,23,1,30,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,40,1,23,startSyncRequest,33976320
"iPhone4,1",7.0.2,1,40,1,17,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,40,1,21,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,40,1,24,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,40,1,15,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,40,1,22,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,61,1,17,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,7,1,780,startSyncRequest,33964032
"iPhone4,1",7.0.2,1,7,1,19,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,47,1,48,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,47,1,17,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,47,1,27,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,28,1,25,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,28,1,12,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,28,1,13,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,45,1,17,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,45,1,14,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,45,1,13,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,45,1,13,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,37,1,31,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,37,1,26,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,28,1,35,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,28,1,45,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,23,1,19,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,23,1,19,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,23,1,26,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,35,1,17,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,35,1,18,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,35,1,22,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,31,1,46,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,31,1,15,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,31,1,18,startSyncRequest,33964032
"iPhone4,1",7.0.2,1,61,1,19,startSyncRequest,33976320
"iPhone4,1",7.0.2,1,61,1,30,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,53,1,19,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,53,1,29,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,50,1,29,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,50,1,14,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,50,1,31,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,50,1,15,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,50,1,26,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,57,1,16,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,57,1,17,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,57,1,33,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,57,1,18,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,58,1,27,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,58,1,18,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,42,1,40,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,42,1,29,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,24,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,29,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,58,1,19,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,8,1,58,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,8,1,31,startSyncRequest,33984512
"iPhone4,1",7.0.2,1,47,1,33,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,47,1,26,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,54,1,21,startSyncRequest,33984512
"iPhone4,1",7.0.2,1,54,1,28,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,53,1,29,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,53,1,32,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,28,1,64,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,28,1,34,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,21,1,98,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,21,1,20,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,21,1,17,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,52,1,37,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,52,1,22,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,70,1,16,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,70,1,17,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,46,1,32,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,26,1,69,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,26,1,31,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,54,1,17,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,54,1,26,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,45,1,20,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,45,1,39,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,21,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,15,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,41,1,34,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,41,1,19,startSyncRequest,33984512
"iPhone4,1",7.0.2,1,41,1,20,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,53,1,24,startSyncRequest,33984512
"iPhone4,1",7.0.2,1,53,1,17,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,51,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,38,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,46,1,16,startSyncRequest,33984512
"iPhone4,1",7.0.2,1,46,1,20,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,46,1,15,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,32,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,36,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,33,1,46,startSyncRequest,33984512
"iPhone4,1",7.0.2,1,33,1,16,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,33,1,17,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,64,1,20,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,38,1,51,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,38,1,38,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,19,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,31,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,33,1,33,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,33,1,19,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,63,1,22,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,63,1,18,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,66,1,16,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,66,1,25,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,54,1,24,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,54,1,14,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,54,1,17,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,53,1,15,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,53,1,32,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,16,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,15,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,32,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,14,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,24,startSyncRequest,33984512
"iPhone4,1",7.0.2,1,43,1,32,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,43,1,21,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,43,1,18,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,53,1,21,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,53,1,17,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,44,1,25,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,44,1,21,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,58,1,22,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,58,1,15,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,58,1,15,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,64,1,19,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,64,1,16,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,64,1,15,startSyncRequest,33984512
"iPhone4,1",7.0.2,1,71,1,21,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,71,1,17,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,71,1,17,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,56,1,22,startSyncRequest,33984512
"iPhone4,1",7.0.2,1,54,1,48,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,54,1,26,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,61,1,27,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,61,1,39,startSyncRequest,33984512
"iPhone4,1",7.0.2,1,50,1,16,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,14,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,50,1,23,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,53,1,23,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,53,1,14,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,53,1,18,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,62,1,25,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,62,1,17,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,62,1,14,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,75,1,14,startSyncRequest,33972224
"iPhone4,1",7.0.2,1,75,1,17,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,72,1,19,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,72,1,17,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,72,1,21,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,64,1,16,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,64,1,15,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,64,1,14,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,58,1,17,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,58,1,18,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,58,1,13,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,60,1,24,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,60,1,13,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,60,1,16,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,60,1,27,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,60,1,20,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,60,1,19,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,60,1,24,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,64,1,28,startSyncRequest,33984512
"iPhone4,1",7.0.2,1,64,1,28,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,58,1,15,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,58,1,21,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,54,1,23,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,41,1,48,startSyncRequest,33984512
"iPhone4,1",7.0.2,1,41,1,15,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,41,1,26,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,43,1,31,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,43,1,22,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,58,1,24,startSyncRequest,33984512
"iPhone4,1",7.0.2,1,58,1,16,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,58,1,20,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,56,1,21,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,56,1,20,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,56,1,15,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,64,1,18,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,64,1,32,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,54,1,17,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,54,1,20,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,72,1,16,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,72,1,23,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,45,1,24,startSyncRequest,33980416
"iPhone4,1",7.0.2,1,45,1,30,startSyncRequest,33980416
