phoneType,iosVersion,embedMod,Cpu,networkType,Duration,methodName,Mem
"iPhone4,1",7.0.2,0,18,1,402,conn_sync,21987328
"iPhone4,1",7.0.2,0,50,1,47,conn_sync,22716416
"iPhone4,1",7.0.2,0,11,1,622,conn_sync,22720512
"iPhone4,1",7.0.2,0,12,1,278,conn_sync,22728704
"iPhone4,1",7.0.2,0,12,1,46,conn_sync,22732800
"iPhone4,1",7.0.2,0,17,1,81,conn_sync,22736896
"iPhone4,1",7.0.2,0,17,1,36,conn_sync,22740992
"iPhone4,1",7.0.2,0,23,1,30,conn_sync,22745088
"iPhone4,1",7.0.2,0,23,1,34,conn_sync,22753280
"iPhone4,1",7.0.2,0,23,1,42,conn_sync,22753280
"iPhone4,1",7.0.2,0,23,1,42,conn_sync,22761472
"iPhone4,1",7.0.2,0,22,1,43,conn_sync,22761472
"iPhone4,1",7.0.2,0,22,1,46,conn_sync,22765568
"iPhone4,1",7.0.2,0,26,1,29,conn_sync,22765568
"iPhone4,1",7.0.2,0,16,1,53,conn_sync,22765568
"iPhone4,1",7.0.2,0,15,1,60,conn_sync,22769664
"iPhone4,1",7.0.2,0,15,1,24,conn_sync,22777856
"iPhone4,1",7.0.2,0,15,1,19,conn_sync,22786048
"iPhone4,1",7.0.2,0,33,1,27,conn_sync,22790144
"iPhone4,1",7.0.2,0,16,1,61,conn_sync,22790144
"iPhone4,1",7.0.2,0,8,1,275,conn_sync,22794240
"iPhone4,1",7.0.2,0,8,1,42,conn_sync,22802432
"iPhone4,1",7.0.2,0,22,1,40,conn_sync,22806528
"iPhone4,1",7.0.2,0,22,1,17,conn_sync,22810624
"iPhone4,1",7.0.2,0,27,1,34,conn_sync,22814720
"iPhone4,1",7.0.2,0,27,1,34,conn_sync,22818816
"iPhone4,1",7.0.2,0,21,1,56,conn_sync,22822912
"iPhone4,1",7.0.2,0,21,1,47,conn_sync,22827008
"iPhone4,1",7.0.2,0,25,1,45,conn_sync,22831104
"iPhone4,1",7.0.2,0,16,1,64,conn_sync,22835200
"iPhone4,1",7.0.2,0,16,1,15,conn_sync,22839296
"iPhone4,1",7.0.2,0,16,1,17,conn_sync,22843392
"iPhone4,1",7.0.2,0,41,1,15,conn_sync,22847488
"iPhone4,1",7.0.2,0,41,1,21,conn_sync,22855680
"iPhone4,1",7.0.2,0,20,1,29,conn_sync,22859776
"iPhone4,1",7.0.2,0,20,1,25,conn_sync,22867968
"iPhone4,1",7.0.2,0,20,1,16,conn_sync,22872064
"iPhone4,1",7.0.2,0,31,1,35,conn_sync,22876160
"iPhone4,1",7.0.2,0,31,1,14,conn_sync,22880256
"iPhone4,1",7.0.2,0,33,1,42,conn_sync,22884352
"iPhone4,1",7.0.2,0,33,1,29,conn_sync,22888448
"iPhone4,1",7.0.2,0,28,1,29,conn_sync,22888448
"iPhone4,1",7.0.2,0,28,1,26,conn_sync,22896640
"iPhone4,1",7.0.2,0,23,1,37,conn_sync,22921216
"iPhone4,1",7.0.2,0,23,1,14,conn_sync,22925312
"iPhone4,1",7.0.2,0,23,1,16,conn_sync,22929408
"iPhone4,1",7.0.2,0,45,1,16,conn_sync,22896640
"iPhone4,1",7.0.2,0,11,1,85,conn_sync,22904832
"iPhone4,1",7.0.2,0,11,1,26,conn_sync,22908928
"iPhone4,1",7.0.2,0,16,1,123,conn_sync,22917120
"iPhone4,1",7.0.2,0,7,1,389,conn_sync,22917120
"iPhone4,1",7.0.2,0,21,1,95,conn_sync,22925312
"iPhone4,1",7.0.2,0,8,1,294,conn_sync,22929408
"iPhone4,1",7.0.2,0,11,1,82,conn_sync,22933504
"iPhone4,1",7.0.2,0,14,1,67,conn_sync,22941696
"iPhone4,1",7.0.2,0,21,1,65,conn_sync,22945792
"iPhone4,1",7.0.2,0,6,1,435,conn_sync,22945792
"iPhone4,1",7.0.2,0,6,1,37,conn_sync,22953984
"iPhone4,1",7.0.2,0,17,1,46,conn_sync,22966272
"iPhone4,1",7.0.2,0,17,1,78,conn_sync,22970368
"iPhone4,1",7.0.2,0,6,1,547,conn_sync,22970368
"iPhone4,1",7.0.2,0,13,1,143,conn_sync,22982656
"iPhone4,1",7.0.2,0,20,1,51,conn_sync,22990848
"iPhone4,1",7.0.2,0,20,1,16,conn_sync,22999040
"iPhone4,1",7.0.2,0,20,1,22,conn_sync,22999040
"iPhone4,1",7.0.2,0,37,1,30,conn_sync,23007232
"iPhone4,1",7.0.2,0,7,1,67,conn_sync,23015424
"iPhone4,1",7.0.2,0,6,1,591,conn_sync,23023616
"iPhone4,1",7.0.2,0,16,1,79,conn_sync,23027712
"iPhone4,1",7.0.2,0,16,1,15,conn_sync,23031808
"iPhone4,1",7.0.2,0,16,1,24,conn_sync,23040000
"iPhone4,1",7.0.2,0,33,1,23,conn_sync,23040000
"iPhone4,1",7.0.2,0,33,1,15,conn_sync,23044096
"iPhone4,1",7.0.2,0,33,1,15,conn_sync,23052288
