desc,time_noSDK,time_SDK
+UIImage.imageNamed:,11,12
NSData.initWithContentsOfFile,2,2
TweetBase2.viewDidLoad,0,2
NSData.initWithContentsOfFile,10,11
TwitterView.viewDidLoad,97,98
+UIImage.imageNamed:,10,10
+UIImage.imageNamed:,5,5
UINavigationController.viewDidLoad,0,1
+UIImage.imageNamed:,5,6
NSData.initWithContentsOfFile,2,3
PostBase.viewDidLoad,0,0
NSData.initWithContentsOfFile,1,2
PostsView.viewDidLoad,60,62
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,5,5
UINavigationController.viewDidLoad,0,1
+UIImage.imageNamed:,5,6
NSData.initWithContentsOfFile,1,2
MessageView.viewDidLoad,61,62
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,1,2
ProfileBase.viewDidLoad,1,1
NSData.initWithContentsOfFile,1,2
ActivesView.viewDidLoad,60,60
+UIImage.imageNamed:,0,0
UINavigationController.viewDidLoad,0,1
+UIImage.imageNamed:,6,6
UINavigationController.viewDidLoad,0,1
+UIImage.imageNamed:,5,7
NSData.initWithContentsOfFile,2,2
NewsBase.viewDidLoad,0,1
NSData.initWithContentsOfFile,1,1
NewsView.viewDidLoad,68,69
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,4,6
UINavigationController.viewDidLoad,0,0
UITabBarController.viewDidLoad,0,0
UITabBarController.viewWillAppear,3,4
UINavigationController.viewWillAppear,0,2
NewsBase.viewWillAppear,0,0
NewsView.viewWillAppear,0,0
NSData.initWithContentsOfFile,1,2
NSData.initWithContentsOfFile,1,2
UITabBarController.viewDidAppear,4,5
UINavigationController.viewDidAppear,3,3
NewsBase.viewDidAppear,0,1
NewsView.viewDidAppear,0,1
NSData.initWithContentsOfFile,1,1
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,0
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,0
UITabBarController.viewDidLoad,0,1
+UIImage.imageNamed:,6,6
+UIImage.imageNamed:,6,7
+UIImage.imageNamed:,6,7
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,1,3
NewsDetail.viewDidLoad,35,36
+UIImage.imageNamed:,0,0
UITabBarController.viewWillAppear,1,2
NewsDetail.viewWillAppear,0,0
NSData.initWithContentsOfFile,1,1
UITabBarController.viewDidAppear,26,27
NewsDetail.viewDidAppear,23,25
NSData.initWithContentsOfFile,1,1
NSData.initWithContentsOfFile,3,3
MessageSystemView.viewDidLoad,65,66
+UIImage.imageNamed:,0,0
MessageSystemView.viewWillAppear,0,1
NSData.initWithContentsOfFile,1,1
MessageSystemView.viewDidAppear,9,10
NSData.initWithContentsOfFile,1,1
NSData.initWithContentsOfFile,1,2
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,0,0
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,0,0
NSData.initWithContentsOfFile,0,0
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,1,2
NSData.initWithContentsOfFile,2,4
ShareView.viewDidLoad,1,1
+UIImage.imageNamed:,0,0
ShareView.viewWillAppear,0,0
#NAME?,0,1
#NAME?,0,0
#NAME?,0,0
#NAME?,0,0
ShareView.viewDidAppear,2,3
NewsBase.viewWillAppear,0,0
NewsView.viewWillAppear,0,1
NewsBase.viewDidAppear,0,0
NewsView.viewDidAppear,0,1
UITabBarController.viewDidLoad,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,1,1
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,0,1
NewsDetail.viewDidLoad,15,15
+UIImage.imageNamed:,0,1
UITabBarController.viewWillAppear,1,1
NewsDetail.viewWillAppear,0,0
UITabBarController.viewDidAppear,5,6
NewsDetail.viewDidAppear,4,5
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,0
MessageSystemView.viewDidLoad,63,64
+UIImage.imageNamed:,0,1
MessageSystemView.viewWillAppear,0,1
NSData.initWithContentsOfFile,0,1
MessageSystemView.viewDidAppear,5,5
NSData.initWithContentsOfFile,0,0
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,1,1
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,0,0
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,0
UIImage.initWithData,1,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
UIImage.initWithData,1,1
UIImage.initWithData,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
NewsBase.viewWillAppear,0,1
NewsView.viewWillAppear,0,1
NewsBase.viewDidAppear,0,0
NewsView.viewDidAppear,0,0
UITabBarController.viewDidLoad,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,2,2
BlogDetail.viewDidLoad,15,15
UITabBarController.viewWillAppear,1,2
BlogDetail.viewWillAppear,0,1
UITabBarController.viewDidAppear,6,6
BlogDetail.viewDidAppear,5,6
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,1
MessageSystemView.viewDidLoad,66,66
+UIImage.imageNamed:,1,1
MessageSystemView.viewWillAppear,0,1
NSData.initWithContentsOfFile,0,1
MessageSystemView.viewDidAppear,5,6
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,1,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,9,10
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,0
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,0,0
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,1,1
NSData.initWithContentsOfFile,0,0
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,1
UIImage.initWithData,1,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
NewsBase.viewWillAppear,0,1
NewsView.viewWillAppear,0,1
#NAME?,0,1
#NAME?,0,1
#NAME?,0,1
#NAME?,0,1
#NAME?,0,1
NewsBase.viewDidAppear,0,1
NewsView.viewDidAppear,0,0
UITabBarController.viewDidLoad,0,0
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,0,1
BlogDetail.viewDidLoad,15,15
UITabBarController.viewWillAppear,1,2
BlogDetail.viewWillAppear,0,0
UITabBarController.viewDidAppear,6,6
BlogDetail.viewDidAppear,5,5
NSData.initWithContentsOfFile,0,0
NSData.initWithContentsOfFile,0,1
MessageSystemView.viewDidLoad,65,66
+UIImage.imageNamed:,0,0
MessageSystemView.viewWillAppear,0,0
NSData.initWithContentsOfFile,0,1
MessageSystemView.viewDidAppear,5,5
NewsBase.viewWillAppear,0,0
NewsView.viewWillAppear,0,1
NewsBase.viewDidAppear,0,0
NewsView.viewDidAppear,0,1
UITabBarController.viewDidLoad,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,0,0
BlogDetail.viewDidLoad,14,16
UITabBarController.viewWillAppear,1,2
BlogDetail.viewWillAppear,0,1
UITabBarController.viewDidAppear,8,9
BlogDetail.viewDidAppear,6,8
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,0
MessageSystemView.viewDidLoad,66,67
+UIImage.imageNamed:,1,1
MessageSystemView.viewWillAppear,0,1
NSData.initWithContentsOfFile,0,0
MessageSystemView.viewDidAppear,6,7
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,1,1
+UIImage.imageNamed:,1,1
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,1,1
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,0
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,1
UIImage.initWithData,1,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
NewsBase.viewWillAppear,0,1
NewsView.viewWillAppear,0,1
UIImage.initWithData,1,1
+UIImage.imageNamed:,0,5
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,1,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,1,1
UIImage.initWithData,1,1
UIImage.initWithData,1,1
UIImage.initWithData,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
NewsBase.viewDidAppear,0,1
NewsView.viewDidAppear,0,2
UITabBarController.viewDidLoad,0,0
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,0,1
BlogDetail.viewDidLoad,15,16
UITabBarController.viewWillAppear,2,3
BlogDetail.viewWillAppear,0,1
UITabBarController.viewDidAppear,1,1
BlogDetail.viewDidAppear,0,0
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,0
MessageSystemView.viewDidLoad,79,79
+UIImage.imageNamed:,0,0
MessageSystemView.viewWillAppear,0,0
NSData.initWithContentsOfFile,0,1
MessageSystemView.viewDidAppear,6,6
NewsBase.viewWillAppear,0,0
NewsView.viewWillAppear,0,0
NewsBase.viewDidAppear,0,1
NewsView.viewDidAppear,0,0
UITabBarController.viewDidLoad,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,0,1
BlogDetail.viewDidLoad,15,16
UITabBarController.viewWillAppear,1,2
BlogDetail.viewWillAppear,0,0
UITabBarController.viewDidAppear,5,5
BlogDetail.viewDidAppear,4,4
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,0
MessageSystemView.viewDidLoad,65,66
+UIImage.imageNamed:,1,1
MessageSystemView.viewWillAppear,0,1
NSData.initWithContentsOfFile,0,0
MessageSystemView.viewDidAppear,6,8
NewsBase.viewWillAppear,0,1
NewsView.viewWillAppear,0,1
NewsBase.viewDidAppear,0,1
NewsView.viewDidAppear,0,1
UINavigationController.viewWillAppear,0,1
PostBase.viewWillAppear,0,1
PostsView.viewWillAppear,0,1
NSData.initWithContentsOfFile,1,1
UINavigationController.viewDidAppear,3,4
PostBase.viewDidAppear,0,1
PostsView.viewDidAppear,1,1
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,1,2
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,1,3
UIImage.initWithData,1,2
NSData.initWithContentsOfFile,0,0
NSData.initWithContentsOfFile,1,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,0,0
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,1,1
NSData.initWithContentsOfFile,0,0
+UIImage.imageNamed:,1,1
NSData.initWithContentsOfFile,0,0
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,0,0
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,0
UIImage.initWithData,0,0
NSData.writeToFile:useAuxiliaryFile,4,4
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
UIImage.initWithData,0,0
NSData.writeToFile:useAuxiliaryFile,4,5
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
UIImage.initWithData,1,1
NSData.writeToFile:useAuxiliaryFile,6,6
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
UIImage.initWithData,0,1
NSData.writeToFile:useAuxiliaryFile,4,4
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,1,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,1,1
+UIImage.imageNamed:,1,1
+UIImage.imageNamed:,0,0
UIImage.initWithData,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
UIImage.initWithData,1,3
+UIImage.imageNamed:,0,0
UIImage.initWithData,0,2
+UIImage.imageNamed:,0,1
UIImage.initWithData,0,1
+UIImage.imageNamed:,0,2
UIImage.initWithData,1,1
UITabBarController.viewDidLoad,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,7,7
NSData.initWithContentsOfFile,1,3
SinglePost.viewDidLoad,2,3
+UIImage.imageNamed:,0,0
UITabBarController.viewWillAppear,1,2
SinglePost.viewWillAppear,0,1
UITabBarController.viewDidAppear,7,7
SinglePost.viewDidAppear,5,5
NSData.initWithContentsOfFile,0,0
NSData.initWithContentsOfFile,0,1
MessageSystemView.viewDidLoad,111,111
+UIImage.imageNamed:,0,0
MessageSystemView.viewWillAppear,0,0
NSData.initWithContentsOfFile,0,1
MessageSystemView.viewDidAppear,6,7
PostBase.viewWillAppear,0,1
PostsView.viewWillAppear,0,0
PostBase.viewDidAppear,0,1
PostsView.viewDidAppear,0,1
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,2,2
UIImage.initWithData,1,2
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,1,2
UIImage.initWithData,1,2
UIImage.initWithData,0,1
NSData.writeToFile:useAuxiliaryFile,3,4
UIImage.initWithData,2,2
NSData.writeToFile:useAuxiliaryFile,4,5
UIImage.initWithData,1,1
NSData.writeToFile:useAuxiliaryFile,6,7
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
UITabBarController.viewDidLoad,0,0
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,1,1
SinglePost.viewDidLoad,3,4
+UIImage.imageNamed:,0,0
UITabBarController.viewWillAppear,1,2
SinglePost.viewWillAppear,0,1
UITabBarController.viewDidAppear,11,22
SinglePost.viewDidAppear,9,10
NSData.initWithContentsOfFile,0,2
NSData.initWithContentsOfFile,0,1
MessageSystemView.viewDidLoad,77,78
+UIImage.imageNamed:,0,0
MessageSystemView.viewWillAppear,0,1
NSData.initWithContentsOfFile,0,1
MessageSystemView.viewDidAppear,7,9
NSData.initWithContentsOfFile,0,0
NSData.initWithContentsOfFile,1,1
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,0
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,0,1
NSData.initWithContentsOfFile,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
UIImage.initWithData,1,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
UIImage.initWithData,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
PostBase.viewWillAppear,0,0
PostsView.viewWillAppear,0,1
PostBase.viewDidAppear,0,1
PostsView.viewDidAppear,0,1
UITabBarController.viewDidLoad,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,0,1
SinglePost.viewDidLoad,3,3
+UIImage.imageNamed:,0,1
UITabBarController.viewWillAppear,2,2
SinglePost.viewWillAppear,0,1
UITabBarController.viewDidAppear,6,6
SinglePost.viewDidAppear,5,5
NSData.initWithContentsOfFile,1,1
NSData.initWithContentsOfFile,0,0
MessageSystemView.viewDidLoad,65,66
+UIImage.imageNamed:,0,1
MessageSystemView.viewWillAppear,0,0
NSData.initWithContentsOfFile,0,1
MessageSystemView.viewDidAppear,5,5
PostBase.viewWillAppear,0,1
PostsView.viewWillAppear,0,1
PostBase.viewDidAppear,0,1
PostsView.viewDidAppear,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,1,2
UIImage.initWithData,1,1
+UIImage.imageNamed:,0,1
NSData.initWithContentsOfFile,1,2
UIImage.initWithData,1,2
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,1,2
UIImage.initWithData,1,2
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,2,2
UIImage.initWithData,1,1
UITabBarController.viewDidLoad,0,1
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,0,0
+UIImage.imageNamed:,0,1
+UIImage.imageNamed:,1,1
+UIImage.imageNamed:,0,0
NSData.initWithContentsOfFile,0,1
SinglePost.viewDidLoad,3,4
+UIImage.imageNamed:,0,0
UITabBarController.viewWillAppear,1,2
SinglePost.viewWillAppear,0,0
#NAME?,0,0
UITabBarController.viewDidAppear,11,13
SinglePost.viewDidAppear,10,11
