phoneType,iosVersion,embedMod,Mem,Duration,networkType,methodName,Cpu
"iPhone4,1",7.0.2,1,20,2657,1,conn_sync,8
"iPhone4,1",7.0.2,1,20,2224,1,conn_sync,5
"iPhone4,1",7.0.2,1,20,2750,1,conn_sync,3
"iPhone4,1",7.0.2,1,21,326,1,conn_sync,12
"iPhone4,1",7.0.2,1,21,1302,1,conn_sync,5
"iPhone4,1",7.0.2,1,21,1619,1,conn_sync,3
"iPhone4,1",7.0.2,1,21,2293,1,conn_sync,6
"iPhone4,1",7.0.2,1,21,1727,1,conn_sync,5
"iPhone4,1",7.0.2,1,21,1659,1,conn_sync,3
"iPhone4,1",7.0.2,1,21,779,1,conn_sync,8
"iPhone4,1",7.0.2,1,21,456,1,conn_sync,4
"iPhone4,1",7.0.2,1,21,169,1,conn_sync,16
"iPhone4,1",7.0.2,1,21,97,1,conn_sync,30
"iPhone4,1",7.0.2,1,21,115,1,conn_sync,16
"iPhone4,1",7.0.2,1,21,199,1,conn_sync,10
"iPhone4,1",7.0.2,1,21,353,1,conn_sync,5
"iPhone4,1",7.0.2,1,21,912,1,conn_sync,6
"iPhone4,1",7.0.2,1,21,292,1,conn_sync,6
"iPhone4,1",7.0.2,1,21,670,1,conn_sync,5
"iPhone4,1",7.0.2,1,21,172,1,conn_sync,17
"iPhone4,1",7.0.2,1,22,147,1,conn_sync,13
"iPhone4,1",7.0.2,1,22,133,1,conn_sync,7
"iPhone4,1",7.0.2,1,22,42,1,conn_sync,40
"iPhone4,1",7.0.2,1,22,57,1,conn_sync,33
"iPhone4,1",7.0.2,1,22,64,1,conn_sync,16
"iPhone4,1",7.0.2,1,22,57,1,conn_sync,33
"iPhone4,1",7.0.2,1,22,106,1,conn_sync,25
"iPhone4,1",7.0.2,1,22,105,1,conn_sync,20
"iPhone4,1",7.0.2,1,22,64,1,conn_sync,16
"iPhone4,1",7.0.2,1,22,84,1,conn_sync,22
"iPhone4,1",7.0.2,1,22,38,1,conn_sync,50
"iPhone4,1",7.0.2,1,23,25,1,conn_sync,66
"iPhone4,1",7.0.2,1,23,40,1,conn_sync,50
"iPhone4,1",7.0.2,1,23,33,1,conn_sync,50
"iPhone4,1",7.0.2,1,23,54,1,conn_sync,20
"iPhone4,1",7.0.2,1,23,38,1,conn_sync,50
"iPhone4,1",7.0.2,1,23,48,1,conn_sync,40
"iPhone4,1",7.0.2,1,23,33,1,conn_sync,50
"iPhone4,1",7.0.2,1,23,29,1,conn_sync,33
"iPhone4,1",7.0.2,1,23,37,1,conn_sync,50
"iPhone4,1",7.0.2,1,23,29,1,conn_sync,33
"iPhone4,1",7.0.2,1,24,61,1,conn_sync,16
"iPhone4,1",7.0.2,1,24,51,1,conn_sync,40
"iPhone4,1",7.0.2,1,24,45,1,conn_sync,40
"iPhone4,1",7.0.2,1,24,35,1,conn_sync,50
"iPhone4,1",7.0.2,1,24,50,1,conn_sync,20
"iPhone4,1",7.0.2,1,24,31,1,conn_sync,33
"iPhone4,1",7.0.2,1,24,69,1,conn_sync,25
"iPhone4,1",7.0.2,1,24,32,1,conn_sync,66
"iPhone4,1",7.0.2,1,24,47,1,conn_sync,40
"iPhone4,1",7.0.2,1,24,35,1,conn_sync,25
"iPhone4,1",7.0.2,1,24,30,1,conn_sync,33
"iPhone4,1",7.0.2,1,24,46,1,conn_sync,40
"iPhone4,1",7.0.2,1,25,41,1,conn_sync,25
"iPhone4,1",7.0.2,1,25,70,1,conn_sync,28
"iPhone4,1",7.0.2,1,25,42,1,conn_sync,50
"iPhone4,1",7.0.2,1,25,129,1,conn_sync,28
"iPhone4,1",7.0.2,1,25,42,1,conn_sync,40
"iPhone4,1",7.0.2,1,25,46,1,conn_sync,50
"iPhone4,1",7.0.2,1,25,35,1,conn_sync,25
"iPhone4,1",7.0.2,1,25,38,1,conn_sync,50
"iPhone4,1",7.0.2,1,25,42,1,conn_sync,50
"iPhone4,1",7.0.2,1,25,61,1,conn_sync,28
"iPhone4,1",7.0.2,1,26,52,1,conn_sync,33
"iPhone4,1",7.0.2,1,26,242,1,conn_sync,20
"iPhone4,1",7.0.2,1,26,120,1,conn_sync,33
"iPhone4,1",7.0.2,1,26,47,1,conn_sync,40
"iPhone4,1",7.0.2,1,26,85,1,conn_sync,22
"iPhone4,1",7.0.2,1,26,88,1,conn_sync,25
"iPhone4,1",7.0.2,1,26,48,1,conn_sync,50
"iPhone4,1",7.0.2,1,26,111,1,conn_sync,18
"iPhone4,1",7.0.2,1,26,93,1,conn_sync,30
"iPhone4,1",7.0.2,1,26,72,1,conn_sync,37
"iPhone4,1",7.0.2,1,26,62,1,conn_sync,33
"iPhone4,1",7.0.2,1,27,85,1,conn_sync,25
"iPhone4,1",7.0.2,1,27,175,1,conn_sync,16
"iPhone4,1",7.0.2,1,27,63,1,conn_sync,42
"iPhone4,1",7.0.2,1,27,41,1,conn_sync,50
"iPhone4,1",7.0.2,1,27,51,1,conn_sync,40
"iPhone4,1",7.0.2,1,27,44,1,conn_sync,40
"iPhone4,1",7.0.2,1,27,78,1,conn_sync,25
"iPhone4,1",7.0.2,1,27,110,1,conn_sync,27
"iPhone4,1",7.0.2,1,27,210,1,conn_sync,14
"iPhone4,1",7.0.2,1,27,232,1,conn_sync,8
"iPhone4,1",7.0.2,1,28,175,1,conn_sync,21
"iPhone4,1",7.0.2,1,28,107,1,conn_sync,18
"iPhone4,1",7.0.2,1,28,83,1,conn_sync,25
"iPhone4,1",7.0.2,1,28,60,1,conn_sync,33
"iPhone4,1",7.0.2,1,28,136,1,conn_sync,14
"iPhone4,1",7.0.2,1,28,219,1,conn_sync,13
"iPhone4,1",7.0.2,1,28,50,1,conn_sync,40
"iPhone4,1",7.0.2,1,28,41,1,conn_sync,40
"iPhone4,1",7.0.2,1,28,134,1,conn_sync,15
"iPhone4,1",7.0.2,1,28,43,1,conn_sync,40
"iPhone4,1",7.0.2,1,28,34,1,conn_sync,50
"iPhone4,1",7.0.2,1,29,46,1,conn_sync,25
"iPhone4,1",7.0.2,1,29,79,1,conn_sync,33
"iPhone4,1",7.0.2,1,29,80,1,conn_sync,25
"iPhone4,1",7.0.2,1,29,154,1,conn_sync,20
"iPhone4,1",7.0.2,1,22,1178,1,conn_sync,20
"iPhone4,1",7.0.2,1,21,159,1,conn_sync,25
"iPhone4,1",7.0.2,1,21,309,1,conn_sync,9
"iPhone4,1",7.0.2,1,21,309,1,conn_sync,9
"iPhone4,1",7.0.2,1,22,205,1,conn_sync,10
"iPhone4,1",7.0.2,1,22,205,1,conn_sync,14
"iPhone4,1",7.0.2,1,22,169,1,conn_sync,16
"iPhone4,1",7.0.2,1,22,142,1,conn_sync,14
"iPhone4,1",7.0.2,1,22,380,1,conn_sync,7
"iPhone4,1",7.0.2,1,22,771,1,conn_sync,5
"iPhone4,1",7.0.2,1,22,96,1,conn_sync,27
"iPhone4,1",7.0.2,1,22,179,1,conn_sync,16
"iPhone4,1",7.0.2,1,22,162,1,conn_sync,12
"iPhone4,1",7.0.2,1,22,564,1,conn_sync,7
"iPhone4,1",7.0.2,1,22,322,1,conn_sync,9
"iPhone4,1",7.0.2,1,23,156,1,conn_sync,18
"iPhone4,1",7.0.2,1,23,441,1,conn_sync,6
"iPhone4,1",7.0.2,1,23,533,1,conn_sync,75
"iPhone4,1",7.0.2,1,23,745,1,conn_sync,9
"iPhone4,1",7.0.2,1,23,631,1,conn_sync,6
"iPhone4,1",7.0.2,1,23,180,1,conn_sync,15
"iPhone4,1",7.0.2,1,23,120,1,conn_sync,16
"iPhone4,1",7.0.2,1,23,94,1,conn_sync,30
"iPhone4,1",7.0.2,1,23,338,1,conn_sync,6
"iPhone4,1",7.0.2,1,23,1042,1,conn_sync,4
"iPhone4,1",7.0.2,1,23,534,1,conn_sync,5
"iPhone4,1",7.0.2,1,24,227,1,conn_sync,13
"iPhone4,1",7.0.2,1,23,120,1,conn_sync,38
"iPhone4,1",7.0.2,1,22,100,1,conn_sync,45
"iPhone4,1",7.0.2,1,21,219,1,conn_sync,23
"iPhone4,1",7.0.2,1,21,50,1,conn_sync,40
"iPhone4,1",7.0.2,1,22,109,1,conn_sync,16
"iPhone4,1",7.0.2,1,22,90,1,conn_sync,22
"iPhone4,1",7.0.2,1,22,388,1,conn_sync,10
"iPhone4,1",7.0.2,1,22,100,1,conn_sync,20
"iPhone4,1",7.0.2,1,22,248,1,conn_sync,12
"iPhone4,1",7.0.2,1,22,914,1,conn_sync,4
"iPhone4,1",7.0.2,1,22,396,1,conn_sync,10
"iPhone4,1",7.0.2,1,22,445,1,conn_sync,6
"iPhone4,1",7.0.2,1,22,265,1,conn_sync,11
"iPhone4,1",7.0.2,1,22,192,1,conn_sync,15
"iPhone4,1",7.0.2,1,22,133,1,conn_sync,14
"iPhone4,1",7.0.2,1,23,135,1,conn_sync,15
"iPhone4,1",7.0.2,1,23,131,1,conn_sync,23
"iPhone4,1",7.0.2,1,23,613,1,conn_sync,4
"iPhone4,1",7.0.2,1,23,180,1,conn_sync,15
"iPhone4,1",7.0.2,1,23,279,1,conn_sync,10
"iPhone4,1",7.0.2,1,23,707,1,conn_sync,7
"iPhone4,1",7.0.2,1,23,451,1,conn_sync,6
"iPhone4,1",7.0.2,1,23,331,1,conn_sync,11
"iPhone4,1",7.0.2,1,23,298,1,conn_sync,10
"iPhone4,1",7.0.2,1,23,133,1,conn_sync,15
"iPhone4,1",7.0.2,1,23,123,1,conn_sync,30
"iPhone4,1",7.0.2,1,24,125,1,conn_sync,15
"iPhone4,1",7.0.2,1,24,107,1,conn_sync,20
"iPhone4,1",7.0.2,1,24,429,1,conn_sync,6
"iPhone4,1",7.0.2,1,24,94,1,conn_sync,27
"iPhone4,1",7.0.2,1,24,133,1,conn_sync,15
"iPhone4,1",7.0.2,1,24,213,1,conn_sync,14
"iPhone4,1",7.0.2,1,24,97,1,conn_sync,20
"iPhone4,1",7.0.2,1,24,116,1,conn_sync,25
"iPhone4,1",7.0.2,1,24,102,1,conn_sync,18
"iPhone4,1",7.0.2,1,24,180,1,conn_sync,11
"iPhone4,1",7.0.2,1,24,149,1,conn_sync,20
"iPhone4,1",7.0.2,1,24,133,1,conn_sync,15
"iPhone4,1",7.0.2,1,24,188,1,conn_sync,15
"iPhone4,1",7.0.2,1,25,355,1,conn_sync,11
"iPhone4,1",7.0.2,1,25,191,1,conn_sync,11
"iPhone4,1",7.0.2,1,25,140,1,conn_sync,18
"iPhone4,1",7.0.2,1,24,208,1,conn_sync,30
"iPhone4,1",7.0.2,1,22,156,1,conn_sync,43
"iPhone4,1",7.0.2,1,21,482,1,conn_sync,12
"iPhone4,1",7.0.2,1,21,244,1,conn_sync,12
"iPhone4,1",7.0.2,1,22,150,1,conn_sync,13
"iPhone4,1",7.0.2,1,22,140,1,conn_sync,14
"iPhone4,1",7.0.2,1,22,114,1,conn_sync,16
"iPhone4,1",7.0.2,1,22,152,1,conn_sync,12
"iPhone4,1",7.0.2,1,22,90,1,conn_sync,33
"iPhone4,1",7.0.2,1,22,92,1,conn_sync,22
"iPhone4,1",7.0.2,1,22,144,1,conn_sync,13
"iPhone4,1",7.0.2,1,22,120,1,conn_sync,25
"iPhone4,1",7.0.2,1,22,152,1,conn_sync,18
"iPhone4,1",7.0.2,1,22,127,1,conn_sync,15
"iPhone4,1",7.0.2,1,22,130,1,conn_sync,16
"iPhone4,1",7.0.2,1,23,172,1,conn_sync,15
"iPhone4,1",7.0.2,1,23,106,1,conn_sync,20
"iPhone4,1",7.0.2,1,23,90,1,conn_sync,22
"iPhone4,1",7.0.2,1,23,158,1,conn_sync,18
"iPhone4,1",7.0.2,1,23,154,1,conn_sync,12
"iPhone4,1",7.0.2,1,23,82,1,conn_sync,25
"iPhone4,1",7.0.2,1,23,97,1,conn_sync,30
"iPhone4,1",7.0.2,1,23,101,1,conn_sync,27
"iPhone4,1",7.0.2,1,23,111,1,conn_sync,18
"iPhone4,1",7.0.2,1,23,166,1,conn_sync,29
"iPhone4,1",7.0.2,1,23,85,1,conn_sync,25
"iPhone4,1",7.0.2,1,23,69,1,conn_sync,37
"iPhone4,1",7.0.2,1,24,69,1,conn_sync,14
"iPhone4,1",7.0.2,1,24,395,1,conn_sync,10
"iPhone4,1",7.0.2,1,24,277,1,conn_sync,10
"iPhone4,1",7.0.2,1,24,547,1,conn_sync,5
"iPhone4,1",7.0.2,1,24,733,1,conn_sync,8
"iPhone4,1",7.0.2,1,24,194,1,conn_sync,15
"iPhone4,1",7.0.2,1,24,656,1,conn_sync,21
"iPhone4,1",7.0.2,1,24,1105,1,conn_sync,4
"iPhone4,1",7.0.2,1,24,312,1,conn_sync,12
"iPhone4,1",7.0.2,1,24,259,1,conn_sync,11
"iPhone4,1",7.0.2,1,24,527,1,conn_sync,5
"iPhone4,1",7.0.2,1,25,157,1,conn_sync,18
"iPhone4,1",7.0.2,1,25,182,1,conn_sync,15
"iPhone4,1",7.0.2,1,25,142,1,conn_sync,14
"iPhone4,1",7.0.2,1,25,58,1,conn_sync,33
"iPhone4,1",7.0.2,1,25,70,1,conn_sync,25
"iPhone4,1",7.0.2,1,25,112,1,conn_sync,18
"iPhone4,1",7.0.2,1,25,33,1,conn_sync,50
"iPhone4,1",7.0.2,1,25,111,1,conn_sync,20
"iPhone4,1",7.0.2,1,24,223,1,conn_sync,34
"iPhone4,1",7.0.2,1,23,97,1,conn_sync,50
"iPhone4,1",7.0.2,1,23,35,1,conn_sync,50
"iPhone4,1",7.0.2,1,22,87,1,conn_sync,55
"iPhone4,1",7.0.2,1,22,41,1,conn_sync,50
"iPhone4,1",7.0.2,1,22,143,1,conn_sync,13
"iPhone4,1",7.0.2,1,22,79,1,conn_sync,25
