#,Total Threads,Physical Memory Wired,Physical Memory Active,Physical Memory Inactive,Physical Memory Used,Physical Memory Free,VM Size,Page Ins,Page Outs,Swap Used,Net Packets In,Net Bytes In,Net Packets Out,Net Bytes Out,Net Packets In Per Second,Net Packets Out Per Second,Net Bytes In Per Second,Net Bytes Out Per Second,Disk Read Ops,Disk Bytes Read,Disk Write Ops,Disk Bytes Written,Disk Read Ops Per Second,Disk Write Ops Per Second,Disk Bytes Read Per Second,Disk Bytes Written Per Second,% Total Load,% User Load,% System Load,% Nice Load
0,345,100671488,98471936,64405504,263548928,57352192,29696737280,370655232,8462336,0,281125,654988657,138381,597801915,<null>,<null>,<null>,<null>,156154,1995931648,79477,17925910528,<null>,<null>,<null>,<null>,44.80015945,44.80015945,0,0
1,348,97173504,102244352,63434752,262852608,53313536,29797257216,370655232,8462336,0,281140,655042447,138391,597855309,11,7,42053,41744,156154,1995931648,79480,17928376320,0,2,0,1927794,66.39199448,66.39199448,0,0
2,349,88760320,110010368,64188416,262959104,53587968,29797015552,370688000,8462336,0,281156,655096650,138401,597909144,15,9,51860,51508,156154,1995931648,79537,17938825216,0,54,0,9997316,38.33791161,38.33791161,0,0
3,350,97869824,102305792,65040384,265216000,51503104,29794156544,370688000,8462336,0,281181,655160941,138411,597963818,23,9,61052,51920,156154,1995931648,79545,17946222592,0,7,0,7024794,53.33333397,53.33333397,0,0
4,351,93327360,106848256,65052672,265228288,51744768,29798633472,370688000,8462336,0,281195,655215066,138421,598017575,13,9,50526,50183,156154,1995931648,79545,17946222592,0,0,0,0,35.98130798,35.98130798,0,0
5,353,93077504,106848256,65052672,264978432,51855360,29799604224,370688000,8462336,0,281213,655269342,138431,598071317,17,9,51594,51086,156154,1995931648,79556,17946308608,0,10,0,81765,35.56603718,35.56603718,0,0
6,353,92127232,106909696,65052672,264089600,53137408,29797765120,370688000,8462336,0,281230,655323583,138441,598125074,16,9,51750,51288,156154,1995931648,79556,17946308608,0,0,0,0,43.99267387,43.99267387,0,0
7,353,91287552,107065344,65056768,263409664,52867072,29797765120,370688000,8462336,0,281250,655378399,138451,598178816,19,9,52305,51281,156154,1995931648,79556,17946308608,0,0,0,0,29.04761887,29.04761887,0,0
8,349,90832896,107065344,65056768,262955008,53719040,29794828288,370688000,8462336,0,281269,655432841,138461,598232558,18,9,52089,51420,156154,1995931648,79556,17946308608,0,0,0,0,21.0714283,21.0714283,0,0
9,335,88739840,107802624,65060864,261603328,53592064,29787373568,370688000,8462336,0,281287,655487505,138471,598286300,17,9,52406,51522,156154,1995931648,79556,17946308608,0,0,0,0,12.38095188,12.38095188,0,0
10,327,88739840,107802624,65064960,261607424,53321728,29783113728,370688000,8462336,0,281304,655542134,138481,598340042,16,9,52407,51556,156154,1995931648,79556,17946308608,0,0,0,0,12.01923037,12.01923037,0,0
11,328,88743936,107802624,65064960,261611520,53575680,29783646208,370688000,8462336,0,281316,655596026,138491,598393782,11,9,51741,51595,156154,1995931648,79557,17946320896,0,0,0,11797,13.46153879,13.46153879,0,0
12,321,88739840,107802624,65064960,261607424,53903360,29779918848,370688000,8462336,0,281331,655650105,138501,598447529,14,9,51814,51496,156154,1995931648,79557,17946320896,0,0,0,0,9.615384579,9.615384579,0,0
13,318,93495296,106852352,65069056,265416704,51740672,29781479424,370688000,8462336,0,281348,655704361,138511,598501269,16,9,51852,51359,156154,1995931648,79557,17946320896,0,0,0,0,47.61904716,47.61904716,0,0
14,317,92061696,106913792,65069056,264044544,53587968,29778513920,370688000,8462336,0,281359,655758163,138521,598555011,10,9,51074,51017,156154,1995931648,79557,17946320896,0,0,0,0,34.09703541,34.09703541,0,0
15,319,92917760,106950656,65081344,264949760,51363840,29783359488,370688000,8462336,0,281369,655811905,138531,598608753,9,9,51388,51388,156154,1995931648,79557,17946320896,0,0,0,0,28.68131828,28.68131828,0,0
16,326,101974016,107180032,65249280,274403328,39464960,29861724160,370688000,8462336,0,281389,655869935,138539,598663571,18,7,54805,51772,156154,1995931648,79560,17948786688,0,2,0,2328780,58.0729866,58.0729866,0,0
17,326,89001984,110563328,65900544,265465856,33595392,29891411968,370688000,8462336,0,281415,655938994,138549,598718389,24,9,65779,52214,156154,1995931648,79590,17951567872,0,28,0,2649097,42.55952454,42.55952454,0,0
18,326,93589504,109748224,66183168,269520896,32550912,29896978432,370688000,8462336,0,281428,655993029,138559,598772148,12,9,51321,51059,156154,1995931648,79595,17956511744,0,4,0,4695610,31.8104229,31.8104229,0,0
19,333,90001408,110166016,66240512,266407936,32067584,29901287424,370688000,8462336,0,281500,656057813,138625,598836019,69,63,62177,61301,156158,1995960320,79595,17956511744,3,0,27518,0,11.94597054,11.94597054,0,0
20,330,92168192,109555712,66269184,267993088,37470208,29888016384,370688000,8462336,0,281528,656114383,138648,598891436,26,22,54267,53161,156158,1995960320,79595,17956511744,0,0,0,0,27.59521961,27.59521961,0,0
21,330,108924928,108851200,66568192,284344320,26304512,29909770240,370688000,8462336,0,281546,656174321,138658,598945940,17,9,57546,52328,156158,1995960320,79598,17958977536,0,2,0,2367388,48.78205109,48.78205109,0,0
22,329,89088000,110874624,67072000,267034624,23625728,29911670784,370688000,8462336,0,281564,656231554,138668,599000494,17,9,54894,52324,156158,1995960320,79604,17963909120,0,5,0,4730051,30.88592243,30.88592243,0,0
23,332,90771456,110399488,67076096,268247040,24879104,29913153536,370688000,8462336,0,281580,656286047,138678,599054251,15,9,51917,51216,156158,1995960320,79607,17966374912,0,2,0,2349243,20.33377886,20.33377886,0,0
24,331,93958144,109813760,67080192,270852096,26558464,29905543168,370688000,8462336,0,281598,656340394,138688,599108008,17,9,52188,51622,156158,1995960320,79607,17966374912,0,0,0,0,23.71794987,23.71794987,0,0
25,328,110727168,108900352,67608576,287236096,17444864,29921153024,370688000,8462336,0,281619,656403454,138698,599162578,19,9,60055,51970,156158,1995960320,79610,17968840704,0,2,0,2348312,43.38228798,43.38228798,0,0
26,329,89124864,110874624,67608576,267608064,19726336,29919391744,370688000,8462336,0,281634,656457639,138708,599216335,14,9,51539,51132,156158,1995960320,79610,17968840704,0,0,0,0,14.28571367,14.28571367,0,0
27,328,89128960,110874624,67624960,267628544,17285120,29921456128,370688000,8462336,0,281650,656512830,138718,599270676,15,9,52929,52113,156158,1995960320,79614,17973772288,0,3,0,4729475,30.76923084,30.76923084,0,0
28,323,90083328,110399488,67624960,268107776,19615744,29917241344,370688000,8462336,0,281666,656567011,138728,599324433,15,9,52006,51599,156158,1995960320,79616,17976238080,0,1,0,2366843,9.088828087,9.088828087,0,0
29,322,92581888,109813760,67624960,270020608,22016000,29911023616,370688000,8462336,0,281680,656621068,138738,599378186,13,9,51889,51597,156158,1995960320,79616,17976238080,0,0,0,0,25.48076916,25.48076916,0,0
