phoneType,iosVersion,embedMod,mem,duration,networkType,methodName,cpu
"iPhone4,1",7.0.2,0,20,188,1,conn_sync,10
"iPhone4,1",7.0.2,0,20,89,1,conn_sync,33
"iPhone4,1",7.0.2,0,20,63,1,conn_sync,28
"iPhone4,1",7.0.2,0,20,132,1,conn_sync,21
"iPhone4,1",7.0.2,0,20,122,1,conn_sync,16
"iPhone4,1",7.0.2,0,20,196,1,conn_sync,15
"iPhone4,1",7.0.2,0,20,201,1,conn_sync,15
"iPhone4,1",7.0.2,0,20,82,1,conn_sync,33
"iPhone4,1",7.0.2,0,21,99,1,conn_sync,20
"iPhone4,1",7.0.2,0,21,76,1,conn_sync,25
"iPhone4,1",7.0.2,0,21,77,1,conn_sync,25
"iPhone4,1",7.0.2,0,21,111,1,conn_sync,20
"iPhone4,1",7.0.2,0,21,81,1,conn_sync,33
"iPhone4,1",7.0.2,0,21,126,1,conn_sync,15
"iPhone4,1",7.0.2,0,21,47,1,conn_sync,40
"iPhone4,1",7.0.2,0,21,81,1,conn_sync,37
"iPhone4,1",7.0.2,0,21,192,1,conn_sync,10
"iPhone4,1",7.0.2,0,21,39,1,conn_sync,50
"iPhone4,1",7.0.2,0,22,31,1,conn_sync,33
"iPhone4,1",7.0.2,0,22,171,1,conn_sync,16
"iPhone4,1",7.0.2,0,22,84,1,conn_sync,25
"iPhone4,1",7.0.2,0,22,51,1,conn_sync,40
"iPhone4,1",7.0.2,0,22,152,1,conn_sync,12
"iPhone4,1",7.0.2,0,22,32,1,conn_sync,66
"iPhone4,1",7.0.2,0,22,48,1,conn_sync,40
"iPhone4,1",7.0.2,0,22,60,1,conn_sync,28
"iPhone4,1",7.0.2,0,22,106,1,conn_sync,20
"iPhone4,1",7.0.2,0,22,55,1,conn_sync,33
"iPhone4,1",7.0.2,0,23,731,1,conn_sync,5
"iPhone4,1",7.0.2,0,23,74,1,conn_sync,37
"iPhone4,1",7.0.2,0,23,37,1,conn_sync,50
"iPhone4,1",7.0.2,0,23,60,1,conn_sync,42
"iPhone4,1",7.0.2,0,23,94,1,conn_sync,55
"iPhone4,1",7.0.2,0,23,97,1,conn_sync,40
"iPhone4,1",7.0.2,0,23,89,1,conn_sync,22
"iPhone4,1",7.0.2,0,23,65,1,conn_sync,28
"iPhone4,1",7.0.2,0,23,61,1,conn_sync,33
"iPhone4,1",7.0.2,0,23,42,1,conn_sync,50
"iPhone4,1",7.0.2,0,24,142,1,conn_sync,20
"iPhone4,1",7.0.2,0,24,110,1,conn_sync,27
"iPhone4,1",7.0.2,0,24,145,1,conn_sync,20
"iPhone4,1",7.0.2,0,24,57,1,conn_sync,33
"iPhone4,1",7.0.2,0,24,31,1,conn_sync,33
"iPhone4,1",7.0.2,0,24,59,1,conn_sync,33
"iPhone4,1",7.0.2,0,24,26,1,conn_sync,50
"iPhone4,1",7.0.2,0,24,40,1,conn_sync,50
"iPhone4,1",7.0.2,0,24,68,1,conn_sync,16
"iPhone4,1",7.0.2,0,24,66,1,conn_sync,28
"iPhone4,1",7.0.2,0,24,30,1,conn_sync,50
"iPhone4,1",7.0.2,0,25,71,1,conn_sync,33
"iPhone4,1",7.0.2,0,25,99,1,conn_sync,27
"iPhone4,1",7.0.2,0,25,91,1,conn_sync,30
"iPhone4,1",7.0.2,0,25,52,1,conn_sync,40
"iPhone4,1",7.0.2,0,25,36,1,conn_sync,33
"iPhone4,1",7.0.2,0,25,94,1,conn_sync,20
"iPhone4,1",7.0.2,0,25,114,1,conn_sync,16
"iPhone4,1",7.0.2,0,25,71,1,conn_sync,28
"iPhone4,1",7.0.2,0,25,59,1,conn_sync,28
"iPhone4,1",7.0.2,0,25,107,1,conn_sync,20
"iPhone4,1",7.0.2,0,26,89,1,conn_sync,20
"iPhone4,1",7.0.2,0,26,156,1,conn_sync,13
"iPhone4,1",7.0.2,0,26,125,1,conn_sync,15
"iPhone4,1",7.0.2,0,26,105,1,conn_sync,18
"iPhone4,1",7.0.2,0,26,68,1,conn_sync,28
"iPhone4,1",7.0.2,0,26,132,1,conn_sync,30
"iPhone4,1",7.0.2,0,26,48,1,conn_sync,40
"iPhone4,1",7.0.2,0,26,45,1,conn_sync,40
"iPhone4,1",7.0.2,0,26,48,1,conn_sync,40
"iPhone4,1",7.0.2,0,26,64,1,conn_sync,57
"iPhone4,1",7.0.2,0,26,84,1,conn_sync,25
"iPhone4,1",7.0.2,0,27,39,1,conn_sync,50
"iPhone4,1",7.0.2,0,27,68,1,conn_sync,25
"iPhone4,1",7.0.2,0,27,41,1,conn_sync,50
"iPhone4,1",7.0.2,0,27,45,1,conn_sync,40
"iPhone4,1",7.0.2,0,27,40,1,conn_sync,40
"iPhone4,1",7.0.2,0,27,97,1,conn_sync,11
"iPhone4,1",7.0.2,0,27,56,1,conn_sync,33
"iPhone4,1",7.0.2,0,27,39,1,conn_sync,50
"iPhone4,1",7.0.2,0,27,89,1,conn_sync,30
"iPhone4,1",7.0.2,0,27,62,1,conn_sync,33
"iPhone4,1",7.0.2,0,28,64,1,conn_sync,16
"iPhone4,1",7.0.2,0,28,159,1,conn_sync,12
"iPhone4,1",7.0.2,0,28,109,1,conn_sync,27
"iPhone4,1",7.0.2,0,28,45,1,conn_sync,40
"iPhone4,1",7.0.2,0,28,66,1,conn_sync,28
"iPhone4,1",7.0.2,0,28,83,1,conn_sync,25
"iPhone4,1",7.0.2,0,28,62,1,conn_sync,42
"iPhone4,1",7.0.2,0,28,42,1,conn_sync,40
"iPhone4,1",7.0.2,0,28,54,1,conn_sync,40
"iPhone4,1",7.0.2,0,28,56,1,conn_sync,40
"iPhone4,1",7.0.2,0,28,41,1,conn_sync,40
"iPhone4,1",7.0.2,0,29,46,1,conn_sync,40
"iPhone4,1",7.0.2,0,29,67,1,conn_sync,28
"iPhone4,1",7.0.2,0,29,77,1,conn_sync,25
"iPhone4,1",7.0.2,0,29,52,1,conn_sync,33
"iPhone4,1",7.0.2,0,29,55,1,conn_sync,20
"iPhone4,1",7.0.2,0,29,43,1,conn_sync,20
"iPhone4,1",7.0.2,0,29,28,1,conn_sync,33
"iPhone4,1",7.0.2,0,29,46,1,conn_sync,40
"iPhone4,1",7.0.2,0,29,21,1,conn_sync,100
"iPhone4,1",7.0.2,0,29,27,1,conn_sync,50
"iPhone4,1",7.0.2,0,29,36,1,conn_sync,33
"iPhone4,1",7.0.2,0,30,29,1,conn_sync,33
"iPhone4,1",7.0.2,0,30,38,1,conn_sync,40
"iPhone4,1",7.0.2,0,30,30,1,conn_sync,33
"iPhone4,1",7.0.2,0,30,22,1,conn_sync,66
"iPhone4,1",7.0.2,0,30,26,1,conn_sync,50
"iPhone4,1",7.0.2,0,30,71,1,conn_sync,37
"iPhone4,1",7.0.2,0,30,29,1,conn_sync,33
"iPhone4,1",7.0.2,0,30,65,1,conn_sync,33
"iPhone4,1",7.0.2,0,30,29,1,conn_sync,50
"iPhone4,1",7.0.2,0,30,72,1,conn_sync,28
"iPhone4,1",7.0.2,0,30,25,1,conn_sync,33
"iPhone4,1",7.0.2,0,31,64,1,conn_sync,33
